k,name,in_iM,gene_weight,regulator,function,category
28,Agr,False,-0.016880474,AgrA,Quorum Sensor/ Virulence Expression,Virulence
0,TreR,False,0.01662401,TreR,Trehalose Metabolism,Carbon Source Utilization
1,Vim-3,False,-0.012270556,,Virulence Expression,Virulence
15,PurR,False,0.011271695,PurR,Purine Metabolism,Amino Acid and Nucleotide Metabolism
5,SaeR,False,-0.010011849000000001,SaeR,Virulence Expression,Virulence
24,Autolysin,False,0.009742355000000001,,Autolysin Expression,Biological Enrichment
19,PyrR,False,0.008998107,PyrR,Pyrimidine Metabolism,Amino Acid and Nucleotide Metabolism
4,SigB,False,-0.008841471,SigB,Stress Response,Stress Response
3,CymR,False,-0.008579613,CymR,Cysteine Metabolism,Amino Acid and Nucleotide Metabolism
10,Guanine Responsive (GR),False,0.007512443000000001,Purine,Purine Salvage,Amino Acid and Nucleotide Metabolism
27,PerR,False,-0.007265564,PerR,Oxidative Stress Response,Stress Response
20,CcpA-2,False,-0.006197533000000001,CcpA,Glucose Independent Carbon Metabolism,Carbon Source Utilization
6,Rex,False,-0.0056573710000000004,Rex,Redox Balance,Energy Metabolism
11,NreC/Rex,False,-0.00562101,NreC/Rex,Redox Balance,Energy Metabolism
13,FMN,False,0.005289594000000001,,Riboflavin Biosynthesis,Miscellaneous Metabolism
26,MntR,False,0.005092196,MntR,Manganese Acquisition,Metal Homeostasis
7,Translation,False,0.004563181,,Translation Machinery Expression,Biological Enrichment
16,SigS,False,-0.003678371,SigS,Stress Response,Stress Response
18,LacR,False,0.003407166,LacR,Lactose Metabolism,Carbon Source Utilization
17,SNFR,False,0.003184376,,,Genomic Strain Difference
2,Unc-1,False,0.003176317,,,Uncharacterized
22,VraR,False,0.00306342,VraR,Cell Wall Biosynthesis,Structural Components
9,CodY,False,-0.0028845420000000004,CodY,Amino Acid Metabolism,Amino Acid and Nucleotide Metabolism
25,B-Lactam Resistance,False,0.00207097,,B-lactam Resistance,Stress Response
12,Urease,False,-0.002003637,,Urea Metabolism,Miscellaneous Metabolism
14,CcpA-1,False,0.001768725,CcpA,Glucose Dependent Carbon Metabolism,Carbon Source Utilization
8,Fur,False,0.00121104,Fur,Iron Metabolism,Metal Homeostasis
21,Gal/Man.,False,0.000616374,,Galactose/Mannose Metabolism,Carbon Source Utilization
23,Phi-Sa3,False,0.000285962,,Prophage Expression,Mobile Elements
