sample,USA300HOU_RS06095
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,6.304048387688649
USA300_LAC_U01-Set001_CAMHB_Control_1,7.07729606581136
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,6.710351622917577
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,6.645471321015568
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,6.753098758307526
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,6.410417191209
USA300_LAC_U01-Set001_CAMHB_Control_2,6.976540622849575
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,6.703467014996332
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,6.5384946149975125
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,6.685571013240089
USA300_TCH1516_U01-Set000_CAMHB_Control_1,6.166679184797039
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,6.148853011766287
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,6.0862390250674885
USA300_LAC_U01-Set001_R10LB_PreCulture_1,5.234631903483291
USA300_LAC_U01-Set001_R10LB_PreCulture_2,5.3230204760279625
USA300_LAC_U01-Set001_R10LB_Control_1,5.58665229040337
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,5.185297483786881
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,5.129456751781717
USA300_LAC_U01-Set001_R10LB_Control_2,5.56950668742777
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,5.090949709473124
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,5.261760554492144
USA300_TCH1516_U01-Set000_R10LB_Control_1,5.596096587433388
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,5.094931418381392
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,5.279351102773104
USA300_TCH1516_U01-Set000_R10LB_Control_2,5.59297621343844
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,5.5433004441952685
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,5.231203560484506
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,6.2446636417007175
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,6.104234226577063
USA300_TCH1516_U01-Set000_CAMHB_Control_2,6.156624901819128
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,6.057136657348452
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,5.735683892879592
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,5.871111102125488
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,5.653365908314892
USA300_LAC_U01-Set004_CAMHB_Control_1,6.293909319303148
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,6.460526070727693
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,6.4815226467127225
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,5.805297116803219
USA300_LAC_U01-Set004_CAMHB_Control_2,6.558584095648607
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,6.517860711359192
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,6.101061658484948
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,5.9830958721027505
USA300_LAC_U01-Set004_R10LB_Control_1,5.979539088614464
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,6.108507729590304
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,6.07129203785192
USA300_LAC_U01-Set004_R10LB_Control_2,5.8168256015447595
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,5.987478253746412
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,6.050799109050996
USA300_TCH1516_U01-Set003_CAMHB_Control_2,6.188323130729934
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,6.3026602386220825
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,6.551416409237912
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,6.3433508319913825
USA300_TCH1516_U01-Set003_CAMHB_Control_3,5.670207812280028
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,5.3880063778909575
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,5.931459751127603
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,5.8958722193740405
USA300_LAC_ICA-Set001_R10LB_Control_1,5.385172837800419
USA300_LAC_ICA-Set001_R10LB_Control_2,5.5007941481462925
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,5.6549487082654935
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,5.544802453865403
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,5.871609724754777
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,5.997948694733218
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,5.692430225043816
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,5.4807706273071375
USA300_TCH1516_BK-Set001_THB_Control_1,4.795471150699463
USA300_TCH1516_BK-Set001_THB_Control_2,5.366230060538035
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,5.222290664424672
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,5.5841606474680034
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,5.985290164521057
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,4.8936218933205895
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,6.030145159068165
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,5.991317069955247
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,5.284326191183089
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,5.1877986953676745
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,6.16169210524331
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,5.7971824357297965
USA300_LAC_ICA-Set002_CAMHB_Control_1,6.2933783793964295
