,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,7.948404339810864,0.09141807493036129,2.0,0.0,7.8837619991045855,5.0,8.013046680517142,,
1,U01-Set001__USA300 LAC CA-MHB Control,7.956321986055048,0.026236609806288523,2.0,1.0,7.974874070764421,6.0,7.937769901345677,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,7.820151357406914,0.09206023753962492,2.0,2.0,7.755054939165001,7.0,7.8852477756488275,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,7.749441706661225,0.07507431023572389,2.0,3.0,7.696356152800641,8.0,7.802527260521807,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,7.763844639247036,0.022527886760967616,2.0,4.0,7.747915017752553,9.0,7.779774260741519,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,7.79579074054313,0.19051338681967742,2.0,10.0,7.66107743281612,29.0,7.93050404827014,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,7.497276200723567,0.04688944698296284,2.0,11.0,7.530432046651307,30.0,7.464120354795827,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,7.390910681286132,0.06112627450117341,2.0,12.0,7.347687878077682,31.0,7.434133484494582,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,9.05254602609613,0.14981130833473089,2.0,13.0,9.158478618118046,14.0,8.946613434074212,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,9.086664547938648,0.1560145098077684,2.0,15.0,8.97634563009008,18.0,9.196983465787216,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,9.014791761869578,0.05580298721102734,2.0,16.0,8.975333091202193,19.0,9.05425043253696,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,9.094021925534216,0.03416320351847664,2.0,17.0,9.118178958409187,20.0,9.069864892659245,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,8.744263093043978,0.1264937254359429,2.0,21.0,8.654818522010673,24.0,8.833707664077282,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,8.344955530564302,0.03837070178744716,2.0,22.0,8.372087713997093,25.0,8.317823347131512,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,8.392897907896526,0.12258096856804246,2.0,23.0,8.479575742015404,26.0,8.306220073777649,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,8.145892596472894,0.08677407876458512,2.0,27.0,8.084534056947241,28.0,8.207251135998549,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,7.868399688893085,0.04347811893332248,2.0,32.0,7.8991433616240725,33.0,7.837656016162097,,
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,8.18785313753682,0.045414926407461885,2.0,34.0,8.155739935107016,38.0,8.219966339966625,,
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,8.374834413827346,0.042694998010204266,2.0,35.0,8.405024336443107,39.0,8.344644491211584,,
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,8.550950546455972,0.05565684781452549,2.0,36.0,8.59030588096509,40.0,8.511595211946853,,
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,8.601124870493427,0.03997289226081056,2.0,37.0,8.572859767312169,41.0,8.629389973674686,,
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,9.341677405006177,0.022149024598729406,2.0,42.0,9.357339130496607,45.0,9.326015679515749,,
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,8.828076552007097,0.037343392207397665,2.0,43.0,8.854482317869458,46.0,8.801670786144738,,
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,9.064672085468358,0.02852604873209416,2.0,44.0,9.08484304796728,47.0,9.044501122969436,,
24,U01-Set003__USA300 TCH1516 CA-MHB Control,7.7182242534765315,0.3961240573461909,2.0,48.0,7.438122246335912,52.0,7.998326260617152,,
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,7.56455485393087,0.05868647894964232,2.0,49.0,7.6060524611601235,53.0,7.523057246701616,,
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,7.9044877367744375,0.31760442516550463,2.0,50.0,8.129067979543821,54.0,7.679907494005054,,
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,8.118015872046053,0.1979466677154057,2.0,51.0,7.97804644099121,55.0,8.257985303100897,,
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,8.721506490327137,0.03412329647504654,2.0,56.0,8.74563530466108,57.0,8.697377675993192,,
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,8.858790205825963,0.014010473596993244,2.0,58.0,8.868697106714032,59.0,8.848883304937894,,
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,9.306759073760887,0.026739150811717467,2.0,60.0,9.325666508623023,61.0,9.287851638898752,,
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,9.029544363936456,0.039890883769361646,2.0,62.0,9.001337249515617,63.0,9.057751478357297,,
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,7.635344937250618,0.9858340891684371,2.0,64.0,6.9382549676747525,65.0,8.332434906826483,,
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,9.194512808374743,0.07418372999274424,2.0,66.0,9.246968626906325,67.0,9.142056989843162,,
