,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,0.0,0.0,2.0,0.0,0.0,5.0,0.0
1,U01-Set001__USA300 LAC CA-MHB Control,0.0,0.0,2.0,1.0,0.0,6.0,0.0
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,0.0,0.0,2.0,2.0,0.0,7.0,0.0
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,0.0,0.0,2.0,3.0,0.0,8.0,0.0
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,0.0,0.0,2.0,4.0,0.0,9.0,0.0
5,U01-Set000__USA300 TCH1516 CA-MHB Control,6.63468790965,0.15307884145639875,2.0,10.0,6.5264448228,29.0,6.7429309965
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,6.6078878479,0.3269156928633875,2.0,11.0,6.3767235446,30.0,6.8390521512
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,6.562702274299999,0.17305442325791712,2.0,12.0,6.4403343181,31.0,6.6850702305
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,0.0,0.0,2.0,13.0,0.0,14.0,0.0
9,U01-Set001__USA300 LAC RPMI+10%LB Control,0.0,0.0,2.0,15.0,0.0,18.0,0.0
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,0.0,0.0,2.0,16.0,0.0,19.0,0.0
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,0.0,0.0,2.0,17.0,0.0,20.0,0.0
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,7.73242683705,0.00882192635676919,2.0,21.0,7.738664881,24.0,7.7261887931
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,7.654785649,0.015783451802388437,2.0,22.0,7.6659462348,25.0,7.6436250632
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,7.5418400192499995,0.2512260281988926,2.0,23.0,7.3641963911,26.0,7.7194836474
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,6.01463782275,0.02361722782799095,2.0,27.0,6.0313377247,28.0,5.9979379208
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,6.72013549835,0.07659602720697348,2.0,32.0,6.6659739281,33.0,6.7742970686
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,0.0,0.0,2.0,34.0,0.0,38.0,0.0
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,0.0,0.0,2.0,35.0,0.0,39.0,0.0
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,0.0,0.0,2.0,36.0,0.0,40.0,0.0
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,0.0,0.0,2.0,37.0,0.0,41.0,0.0
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,0.0,0.0,2.0,42.0,0.0,45.0,0.0
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,0.0,0.0,2.0,43.0,0.0,46.0,0.0
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,0.0,0.0,2.0,44.0,0.0,47.0,0.0
24,U01-Set003__USA300 TCH1516 CA-MHB Control,7.026049283400001,0.19617764656029174,2.0,48.0,7.1647678276,52.0,6.8873307392
