,8
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,-3.229869787
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.19865041200000003
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,1.6274754530000002
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,1.977037701
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,-2.246058657
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,-3.467488794
USA300_LAC_U01-Set001_CAMHB_Control_2,0.19865041200000003
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,2.365596226
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,2.206758717
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,-1.064606474
USA300_TCH1516_U01-Set000_CAMHB_Control_1,1.3763799730000001
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,1.238586857
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,1.446759528
USA300_LAC_U01-Set001_R10LB_PreCulture_1,3.191518934
USA300_LAC_U01-Set001_R10LB_PreCulture_2,5.782415268
USA300_LAC_U01-Set001_R10LB_Control_1,1.797540275
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,0.665631792
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,3.7147039
USA300_LAC_U01-Set001_R10LB_Control_2,1.839919895
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,-0.22425007
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,5.062287102
USA300_TCH1516_U01-Set000_R10LB_Control_1,-2.56515162
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,-2.700273005
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,6.9840034
USA300_TCH1516_U01-Set000_R10LB_Control_2,-0.9169252470000001
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,-3.965780327
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,0.039078438
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-3.279808143
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-4.486384628
USA300_TCH1516_U01-Set000_CAMHB_Control_2,-1.3763799730000001
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,-0.9962412820000001
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.425175271
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,-2.138365897
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,-2.123442646
USA300_LAC_U01-Set004_CAMHB_Control_1,-3.65463578
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-6.351746436
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-6.343742795
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-8.709917207
USA300_LAC_U01-Set004_CAMHB_Control_2,-2.176881147
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-5.688262053
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-6.660238007
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-7.953806021
USA300_LAC_U01-Set004_R10LB_Control_1,-3.029235455
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,4.829834933
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,7.443805372
USA300_LAC_U01-Set004_R10LB_Control_2,-3.13648656
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,4.154501501
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,13.42793614
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-13.73333644
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,-13.86287133
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,-11.29785374
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,-8.922113927
USA300_TCH1516_U01-Set003_CAMHB_Control_3,-14.230791
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,-15.11609554
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,-13.69174549
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,-9.523122983
USA300_LAC_ICA-Set001_R10LB_Control_1,-6.546899564
USA300_LAC_ICA-Set001_R10LB_Control_2,-6.184116096
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,-4.369804126
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,-4.794322074
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,7.19802833
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,3.648600116
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,-2.996439747
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,-3.187718953
USA300_TCH1516_BK-Set001_THB_Control_1,-8.122266614
USA300_TCH1516_BK-Set001_THB_Control_2,-3.391341725
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,-5.667847017
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,-7.684083771
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,-9.025292347
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,-4.014723326
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,-14.67546203
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,-5.893280818
