k,name,in_iM,gene_weight,regulator,function,category
56,rcsc related,True,0.0941202111,,,
63,prpR,False,0.0230248701,prpR,,
41,leu-tRNA,False,0.0222172674,leu-tRNA,,
111,O-antigen,False,0.0213449821,,,
100,tdcA,False,0.0205820473,tdcA,,
96,marR,False,0.0195021612,marR,,
7,gutM,False,0.018595950700000002,gutM,,
65,rcsA;rcsB,False,0.018251880300000002,rcsA;rcsB,,
99,unchar-10,False,-0.018052488000000002,,,
16,cra,False,-0.0179990449,cra,,
112,psp,False,0.017613544800000002,pspF,,
114,Macrophage,False,-0.0172502371,,,
29,SG2_STM2329,False,-0.017051808300000002,,,
92,hyd5,False,-0.0164546086,,,
105,csp-2,False,0.0148435404,,,
44,molybdate,False,0.0147515653,,,
27,ribosome,False,0.0146765742,,,
67,hilD-related,False,-0.0145595386,,,
82,cob,False,0.014435608300000001,,,
22,cytR,False,-0.014205713200000001,cytR,,
73,crp-2,False,-0.0135893161,,,
102,CAMP resistance,False,-0.0135230917,,,
72,his-tRNA,False,-0.0128022164,his-tRNA,,
31,ppdABC,False,-0.012628569800000001,,,
21,tartrate utilization,False,0.012303137300000001,,,
95,rpoN,False,-0.0121808157,rpoN,,
42,SPI16,False,0.0113464945,,,
14,SG1_STM4302,False,0.0111398467,,,
1,fur-1,False,-0.0106783884,fur,,
77,arcA-3,False,-0.0106182666,arcA,,
50,yciGFEkatN,False,-0.0102431615,mcbR,,
18,unchar-3,False,-0.010226798,,,
13,ppGpp,False,-0.010144776900000001,,,
33,pdu,False,-0.0100669505,,,
40,unchar-4,False,-0.0097775113,,,
66,rbsR,False,0.009557642100000001,rbsR,,
113,nsrR,False,-0.0089981088,nsrR,,
84,fnr-1,False,0.0087425999,fnr,,
80,cydABTE,False,0.008032451000000001,,,
24,flhD;flhC,False,-0.0079165688,flhD;flhC,,
70,arcA-2,False,-0.0078134263,arcA,,
57,metJ,False,-0.0077259178,metJ,,
36,nanR,False,-0.007673979000000001,nanR,,
35,glycosyltransferase,False,-0.0073435108,,,
28,appY,False,0.0072897964,appY,,
85,argR-2,False,-0.0071654869,argR,,
4,unchar-1,False,0.0070038293,,,
38,cysB,False,-0.00674869,cysB,,
69,proU,False,-0.0067104866,,,
43,rtcR,False,0.0065448252,rtcR,,
64,unchar-6,False,0.0063332866,,,
108,narL,False,-0.0062899325,narL,,
12,unchar-2,False,0.0062646785,,,
19,csp-1,False,0.00606816,,,
60,SG4_hilC,False,0.0060327487,,,
55,lrp,False,0.0058515632,lrp,,
68,malT,False,-0.005848641700000001,malT,,
15,fim cluster,False,0.0058227662,,,
106,unchar-11,False,-0.0057217405,,,
49,tricarboxylic transport,False,-0.0056055076,,,
51,fra,False,-0.0055472314,,,
103,rpoN-associated,False,-0.0053838669,,,
88,cadC,False,0.0053392544,cadC,,
3,fur-2,False,0.0052752877,fur,,
46,dsdC,False,0.0052698447,dsdC,,
62,SPI2,False,-0.0052218324,,,
74,PTS,False,0.0052198363,,,
101,fnr-2,False,-0.0049999249,fnr,,
107,SPI1 T3SS,False,0.0047087515,,,
32,dpiA,False,-0.0045002718,dpiA,,
71,birA,False,0.0043276505,birA,,
26,fhlA,False,-0.004319075,fhlA,,
10,purR-1,False,0.0043039578,purR,,
94,TPP,False,-0.004261809,TPP,,
48,crp-1,False,-0.0038861132,crp,,
53,csrA,False,0.0038276248000000002,,,
58,NikR,False,0.0037899636,,,
6,rpoH,False,-0.0036836238000000003,rpoH,,
91,lldR,False,-0.0033707375,lldR,,
75,unchar-7,False,0.0031628934,,,
25,phoB,False,-0.0030685668000000003,phoB,,
23,ygbLM,False,0.0029778947000000003,,,
47,SG3_cpxR,False,-0.0029322488,cpxR,,
81,unchar-8,False,-0.0028651681,,,
30,SPI9,False,-0.002730887,,,
37,torR,False,0.0024365203000000003,torR,,
39,zur,False,0.0024059577,zur,,
34,arcA-1,False,-0.0023841026,arcA,,
97,lexA,False,-0.0022394977000000003,lexA,,
98,unchar-9,False,0.0020620906,,,
78,SPI1-1,False,-0.0019755638,,,
61,csgD,False,0.0018741764,csgD,,
0,argR-1,False,-0.0017692463,argR,,
109,yji-operon,False,0.0017670325000000001,,,
2,rstA,False,-0.0015888927,rstA,,
59,rpoS,False,-0.0014744496,rpoS,,
110,unchar-12,False,-0.0013149255,,,
89,fur-3,False,-0.0013030083000000001,fur,,
83,yjiAXY,False,0.0012393602,,,
9,SPI1-2,False,0.0011574908,,,
79,lsrR,False,0.0010536386,lsrR,,
11,fliA,False,-0.0009029141,fliA,,
17,ula-Ascorbate,False,0.0008846978,,,
93,mraZ,False,-0.0007495157,mraZ,,
5,narP,False,0.0006772437,narP,,
20,pmrAB,False,0.0005634375,,,
76,cdaR,False,0.0005563461,cdaR,,
104,SG5_sprB,False,0.0003688472,,,
54,kdpE,False,-0.0002693691,kdpE,,
86,ADI,False,-0.0002460474,,,
87,rpoE,False,0.0001554905,rpoE,,
8,glpR,False,-0.0001193521,glpR,,
45,purR-2,False,0.0001164,purR,,
90,hfq-related,False,5.12448e-05,,,
52,unchar-5,False,-1.6735e-05,,,
