,STM2861
SRX3136375,-0.021217317000000003
SRX3136376,-0.4379226902
SRX3136377,-0.5436413892
SRX3136378,1.0027813963
SRX3136379,-0.2791218472
SRX3136380,0.15929468800000002
SRX3136381,0.039773956400000005
SRX3136382,0.175640138
SRX8914620,0.0987814316
SRX8914621,-0.0439813287
SRX8914622,-0.0548001029
SRX8914623,-1.9981423756
SRX8914625,-3.5007404205
ERX3503512,-0.9946861505000001
ERX3503513,0.748294019
ERX3503514,0.2463921315
ERX3503515,-0.6879852372
ERX3503516,-0.315398899
ERX3503517,-0.921413828
ERX3503518,-0.045097514000000005
ERX3503519,-0.0289425485
ERX3503520,-0.7358441931
SRX2195704,0.3294511479
SRX2195705,-0.3294511479
SRX2195706,0.8889339474
SRX2195707,0.5527355769
SRX2195708,-0.0368915862
SRX2195709,-0.7712690487
SRX2195710,-0.6351914847
SRX2195711,-0.2596567295
ERX3467881,0.1264794897
ERX3467883,-0.1264794897
SRX3798491,0.0483814861
SRX3798492,0.08969560730000001
SRX3798499,0.0163539144
SRX3798500,2.1610398598
SRX3798501,0.20420237970000002
SRX3798502,-0.058338658300000006
SRX3798503,1.0038710283
SRX3798504,0.2232117639
SRX3798506,0.6720196723
SRX3798507,1.8901437733000002
SRX3798508,2.0582051913
SRX3798509,0.5631097685
SRX3798510,-0.8941280393000001
SRX3798517,-0.0662973214
SRX3798518,0.3310182708
SRX4341761,-0.5020432765
SRX4341762,-0.7688236689
SRX4341763,-1.0997782899
SRX4341764,-1.361702564
SRX4341765,-1.7270640581999999
SRX4341766,-1.2267571503
SRX4341767,0.050276184
SRX4341768,-0.19626955140000002
SRX4341769,0.14599336740000002
SRX1258665,0.7883835862
SRX1258666,0.4951915335
SRX1258667,0.3070099135
SRX1258669,-1.6475345814
SRX1258670,1.6475345814
ERX2079594,-0.6013373711000001
ERX2079595,-0.46490141760000003
ERX2079596,-0.7462547889000001
ERX2079597,-0.2791176132
ERX2079598,-0.021660347
ERX2079599,0.30077796030000004
SRX2804001,-0.1921898111
SRX2804004,2.9954673198
SRX2804005,3.3146997125
SRX2804006,1.4161510378
SRX2804007,2.6325639508
SRX2804008,3.0340781807
SRX2804009,-0.0959066524
SRX2804010,-0.167734083
SRX2804011,0.32518426980000004
SRX2804012,0.8498599703
SRX2804013,2.991445112
SRX2804014,2.7768908976
SRX2804015,2.6839475211
SRX2804016,0.7544086240000001
SRX2804017,3.7534404514
SRX2804019,3.0973036312
SRX2804020,1.4843655888
SRX2804021,1.0202769731
SRX2804022,0.9066153742
SRX2804023,2.7174956368
SRX2804024,-0.6384032577000001
SRX2804027,-0.09698810940000001
SRX2804028,-0.29441785
SRX2804029,0.3914059594
SRX2804030,2.3923503382
SRX2804031,1.7447319065
SRX2804032,1.5118678547000002
SRX2804033,0.2034586618
SRX2804034,3.2106812309
SRX2804035,2.32643123
SRX2804036,1.3623935387000001
SRX2804037,2.2496583133
SRX2804038,1.8239620548
SRX2804039,0.5722599975
SRX2804040,0.2916181506
SRX2804041,3.4701507458
SRX2804042,3.1109911476
SRX2804043,1.4009888471
SRX2804044,2.5492591671
SRX2804045,0.1789164814
SRX2804046,0.9778780834
SRX2804047,2.9096227262000003
SRX2804048,0.3668431274
SRX2804049,3.6010167067000003
SRX2804050,1.6282915204
SRX2804051,2.496233065
SRX2804052,0.9839947777
SRX2804053,0.8549609394000001
SRX2804054,0.093600428
SRX2804055,1.8522613208
SRX2804056,1.2224730108
SRX2804057,1.8215516624
SRX2804058,0.44887363690000004
SRX2804059,0.0708780242
