,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
0,2AA__WT,0.0,0.32613519289077286,4.0,0.0,-0.0329939937,1.0,-0.1266087568,2.0,0.4600891559,3.0,-0.3004864054
1,2AA__del_ridA,0.277877359975,0.20011442806102633,4.0,4.0,0.4511248439,5.0,0.4337884006,6.0,0.1895927323,7.0,0.0370034631
2,GC_MS__WT,0.0,0.10290304183256972,3.0,8.0,0.007366546000000001,9.0,0.0990218219,10.0,-0.1063883679,,
3,GC_MS__del_slyA,0.7456659129000001,0.9575633683837759,2.0,11.0,1.4227654641,12.0,0.06856636170000001,,,,
4,Rho__WT,-3.333333377838107e-11,0.19012393890017573,3.0,13.0,0.2063965579,14.0,-0.1679860695,15.0,-0.0384104885,,
5,Rho__rho_Y80C,-1.0603999017333334,0.2586041357193569,3.0,16.0,-1.3538417576000001,17.0,-0.8657727432000001,18.0,-0.9615852044000001,,
6,Rho__rho_K130Q,0.8128130498333334,0.28437776402971837,3.0,19.0,1.1019832784,20.0,0.8029726826,21.0,0.5334831885,,
7,flagella__WT,0.0,0.8424593989897563,2.0,22.0,-0.5957087539,23.0,0.5957087539,,,,
8,flagella__del_rfaL,0.07677117555,0.035061762536625025,2.0,24.0,0.0519787655,25.0,0.1015635856,,,,
9,flagella__del_rfaG,0.97179269,0.07295001797810699,2.0,26.0,0.9202092376000001,27.0,1.0233761424,,,,
10,flagella__del_rfaD,1.24363861,0.27432478808151245,2.0,28.0,1.0496616921,29.0,1.4376155279,,,,
11,nusG__WT_OD08,0.0,0.19838905400483073,2.0,30.0,0.1402822454,31.0,-0.1402822454,,,,
12,omv__spi2_ind_lowOD_intracellularRNAs,1.3477800120666668,0.18209498533182794,3.0,32.0,1.5550597124999999,33.0,1.2135635691,45.0,1.2747167546,,
13,omv__spi2_ind_highOD_intracellularRNAs,0.3031664975666667,0.3241300946322924,3.0,34.0,0.1140670512,36.0,0.6774328055000001,37.0,0.117999636,,
14,omv__spi1_ind_highOD_intracellularRNAs,-0.6310735505333334,0.19622261992974083,3.0,35.0,-0.5937620794,41.0,-0.45618547410000004,42.0,-0.8432730981000001,,
15,omv__controlPCN_highOD_intracellularRNAs,-0.3943664530666667,0.5609449959592612,3.0,38.0,-0.5295826682,39.0,0.2218277643,40.0,-0.8753444553,,
16,omv__controlPCN_lowOD_intracellularRNAs,-4.625929269271485e-18,0.12446832304622554,3.0,43.0,-0.0328077135,44.0,0.1375859672,46.0,-0.1047782537,,
17,sv5015__STM1625,0.14804563316666666,0.5012111460075022,3.0,47.0,-0.4033864569,48.0,0.5759280359,49.0,0.2715953205,,
18,sv5015__STM0581,0.2650702638333334,0.2715612403999165,3.0,50.0,0.045887149200000005,51.0,0.5688642387,52.0,0.1804594036,,
19,sv5015__WT,0.0,0.41796544346295467,3.0,53.0,0.22548805930000002,54.0,0.2567982051,55.0,-0.4822862644,,
20,tomato__tomato_root,1.9128230264,0.20987475556732044,3.0,56.0,1.996336388,57.0,2.0680855118,58.0,1.6740471794,,
21,tomato__LB,0.0,0.48086954127271336,2.0,59.0,-0.3400261135,60.0,0.3400261135,,,,
22,AcrB_efflux_virulence__AcrB_D408A,-0.34110305020000004,0.3435786798386203,3.0,61.0,-0.7378043435,62.0,-0.1385844112,63.0,-0.1469203959,,
23,AcrB_efflux_virulence__WT,3.33333360913457e-11,0.08038808610315848,3.0,64.0,0.0891281657,65.0,-0.022105856,66.0,-0.0670223096,,
24,Chlortetracycline_florfenicol_MDR__5317_Chlortetracycline_0,0.06296471860000001,0.1360541343000386,3.0,67.0,-0.08446326750000001,74.0,0.1836837023,75.0,0.08967372100000001,,
25,Chlortetracycline_florfenicol_MDR__1434_Chlortetracycline_16,2.6109850758,0.12621108441244983,3.0,68.0,2.7170445834,69.0,2.6445161299,71.0,2.4713945141,,
