,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,2AA__WT,2.5000005537956227e-11,0.15615316842043717,4.0,0.0,-0.0908614907,1.0,0.22863322600000002,2.0,-0.10845825690000001,3.0,-0.0293134783
1,2AA__del_ridA,0.5153019921,0.30308918433259635,4.0,4.0,0.7746709153,5.0,0.4149023516,6.0,0.7404492749,7.0,0.13118542660000002
2,GC_MS__WT,0.0,0.3442899933595519,3.0,8.0,-0.0172780477,9.0,-0.3353256565,10.0,0.35260370420000003,,
3,GC_MS__del_slyA,-0.89779766405,0.10684456359366809,2.0,11.0,-0.8222471486,12.0,-0.9733481795000001,,,,
4,Rho__WT,-2.3129646346357427e-18,0.25596525407885984,3.0,13.0,-0.2659790575,14.0,0.2446119594,15.0,0.021367098100000002,,
5,Rho__rho_Y80C,11.598601182633331,0.3457601690988381,3.0,16.0,11.3756481197,17.0,11.9969035207,18.0,11.4232519075,,
6,Rho__rho_K130Q,0.3929723475,0.31842999250583404,3.0,19.0,0.7463319234,20.0,0.1282561028,21.0,0.30432901630000003,,
7,flagella__WT,0.0,0.6118265364023786,2.0,22.0,-0.4326266928,23.0,0.4326266928,,,,
8,flagella__del_rfaL,-0.10568256775,0.24324499089285814,2.0,24.0,0.06631761480000001,25.0,-0.2776827503,,,,
9,flagella__del_rfaG,-0.6163594998499999,0.15245612065705771,2.0,26.0,-0.7241622566,27.0,-0.5085567431,,,,
10,flagella__del_rfaD,0.08938910054999999,0.8015930936185786,2.0,28.0,-0.4774228117,29.0,0.6562010128,,,,
11,nusG__WT_OD08,0.0,0.4080761652657301,2.0,30.0,0.28855342370000003,31.0,-0.28855342370000003,,,,
12,omv__spi2_ind_lowOD_intracellularRNAs,1.0057907483333333,0.5932969766082387,3.0,32.0,0.3250660145,33.0,1.4129489236000001,45.0,1.2793573069,,
13,omv__spi2_ind_highOD_intracellularRNAs,4.0686375555,1.3059720747027095,3.0,34.0,5.5733098004,36.0,3.2295020294,37.0,3.4031008367,,
14,omv__spi1_ind_highOD_intracellularRNAs,2.7688278485333337,0.207667778507103,3.0,35.0,2.745380415,41.0,2.5738789507,42.0,2.9872241799,,
15,omv__controlPCN_highOD_intracellularRNAs,4.536801550366667,0.4243691805556196,3.0,38.0,4.0510397718,39.0,4.7238628887,40.0,4.8355019906,,
16,omv__controlPCN_lowOD_intracellularRNAs,3.333332221355789e-11,0.42095783894316874,3.0,43.0,-0.3931755216,44.0,0.4441059603,46.0,-0.0509304386,,
17,sv5015__STM1625,0.6809704859666666,0.544311291116882,3.0,47.0,0.6049660836,48.0,0.1786558544,49.0,1.2592895199,,
18,sv5015__STM0581,0.4285577038000001,0.38448992045279984,3.0,50.0,0.8712386625,51.0,0.23650332240000002,52.0,0.1779311265,,
19,sv5015__WT,2.3129646346357427e-18,0.060018014900651596,3.0,53.0,0.0466063991,54.0,-0.0677221683,55.0,0.021115769200000002,,
20,tomato__tomato_root,4.251038429199999,0.6162167780388935,3.0,56.0,4.7084071647,57.0,4.4944064921999995,58.0,3.5503016307,,
21,tomato__LB,0.0,1.354524515509231,2.0,59.0,-0.9577934702,60.0,0.9577934702,,,,
22,AcrB_efflux_virulence__AcrB_D408A,-0.0179834903,0.35862372875245196,3.0,61.0,-0.43057349500000003,62.0,0.21893984600000002,63.0,0.15768317810000002,,
23,AcrB_efflux_virulence__WT,-1.3877787807814457e-17,0.3148775644286436,3.0,64.0,0.3569067989,65.0,-0.23854527290000002,66.0,-0.11836152600000001,,
