locus,gene_weight,gene_name,gene_product,cog,regulator,rpoS,link
STM1267,0.19661701410000001,STM1267,putative cytoplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1267
STM3648,0.1550682071,yiaG,putative transcriptional regulator,Transcription,"arcA,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3648
STM2802,0.15275277,ygaM,putative inner membrane protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2802
STM2141,0.149332295,fbaB,3-oxoacyl-[acyl-carrier-protein] synthase I,Carbohydrate transport and metabolism,"cra,rpoS,yieP",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2141
STM4561,0.1358363717,osmY,hyperosmotically inducible periplasmic protein,Function unknown,"arcA,crp,fis,fliZ,ihf,lrp,rpoD,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4561
STM4486,0.1275103864,yjgB,putative alcohol dehydrogenase,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4486
STM4519,0.1269162326,STM4519,putative NAD-dependent aldehyde dehydrogenase,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4519
STM1318,0.1238350307,katE,catalase,Inorganic ion transport and metabolism,"fis,fur,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1318
STM2795,0.1234394253,ygaU,putative LysM domain protein,Function unknown,"cpxR,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2795
STM1929,0.12308568160000001,otsB,trehalose-6-phosphate phophatase%2C biosynthetic,Carbohydrate transport and metabolism,rpoS,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1929
STM2983,0.12231682590000001,ygdI,putative lipoprotein,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2983
STM3269,0.12056105700000001,yhbO,putative intracellular proteinase,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3269
STM0366,0.1133622529,yahO,putative periplasmic protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0366
STM1561,0.1098245182,STM1561,putative outer membrane or secreted lipoprotein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1561
STM1560,0.10932932960000001,STM1560,putative alpha amylase,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1560
STM1928,0.1081735575,otsA,trehalose-6-phosphate synthase,Nucleotide transport and metabolism,"rpoS,ybaQ",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1928
STM0360,0.10810126760000001,STM0360,cytochrome BD2 subunit I,Energy production and conversion,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0360
STM3774,0.1078402896,STM3774,putative inner membrane protein,No COG annotation,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3774
STM1285,0.10676276450000001,yeaG,putative Ser protein kinase,Signal transduction mechanisms,"ntrC,rpoN",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1285
STM0080,0.1023395654,STM0080,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0080
STM0759,0.1022287682,ybgS,putative homeobox protein,Function unknown,"crp,lrp",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0759
STM1559,0.1018404095,STM1559,putative glycosyl hydrolase,Carbohydrate transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1559
STM1770,0.1005066798,chaB,cation transport regulator,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1770
STM0976,0.0949807793,ycaP,putative inner membrane protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0976
STM2796,0.09448502560000001,yqaE,putative YqaE family transport protein,Function unknown,"argR,cpxR",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2796
STM1274,0.09342837450000001,yeaQ,putative inner membrane protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1274
STM2165,0.09234699980000001,yehZ,putative ABC superfamily transport protein (bind_prot),Cell wall/membrane/envelope biogenesis,"rpoH,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2165
STM3157,0.0920688548,yghA,putative oxidoreductase,Lipid transport and metabolism,fnr,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3157
STM1153,0.0911217535,msyB,acidic protein suppresses mutants lacking function of protein export,Function unknown,rpoS,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1153
STM1587,0.0909000726,yncD,putative outer membrane receptor,Inorganic ion transport and metabolism,arcA,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1587
STM2473,0.09004139230000001,talA,transaldolase A,Nucleotide transport and metabolism,"creB,rpoS",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2473
