,81
2AA:WT:1.0,-0.008720511200000001
2AA:WT:2.0,0.7569572927
2AA:WT:3.0,-1.0966091984
2AA:WT:4.0,0.34837241690000004
2AA:del_ridA:1.0,-1.0060517642
2AA:del_ridA:2.0,-1.4251284686
2AA:del_ridA:3.0,-0.5408794062
2AA:del_ridA:4.0,-0.8217168687
GC_MS:WT:1.0,0.2356935256
GC_MS:WT:2.0,-0.0122955006
GC_MS:WT:3.0,-0.223398025
GC_MS:del_slyA:1.0,0.82890692
GC_MS:del_slyA:2.0,0.6477162895
Rho:WT:1.0,-0.052466304400000004
Rho:WT:2.0,0.2623251641
Rho:WT:3.0,-0.2098588597
Rho:rho_Y80C:1.0,-0.7768613561000001
Rho:rho_Y80C:2.0,-0.7794770046
Rho:rho_Y80C:3.0,-0.7460894198
Rho:rho_K130Q:1.0,-0.11907766410000001
Rho:rho_K130Q:2.0,-0.6730734514000001
Rho:rho_K130Q:3.0,-0.5705196435000001
flagella:WT:1.0,-0.4028915178
flagella:WT:2.0,0.4028915178
flagella:del_rfaL:1.0,-0.1878413175
flagella:del_rfaL:2.0,0.0176696816
flagella:del_rfaG:1.0,-1.9540338761
flagella:del_rfaG:2.0,-2.0280654999
flagella:del_rfaD:1.0,-2.8321528496
flagella:del_rfaD:2.0,-3.4713289186000003
nusG:WT_OD08:1.0,0.7350236659
nusG:WT_OD08:2.0,-0.7350236659
omv:spi2_ind_lowOD_intracellularRNAs:1.0,-0.78933538
omv:spi2_ind_lowOD_intracellularRNAs:2.0,-0.0801154919
omv:spi2_ind_highOD_intracellularRNAs:1.0,-0.16791629530000002
omv:spi1_ind_highOD_intracellularRNAs:1.0,-0.8336103487000001
omv:spi2_ind_highOD_intracellularRNAs:2.0,-1.3342259332
omv:spi2_ind_highOD_intracellularRNAs:3.0,-0.9214508355000001
omv:controlPCN_highOD_intracellularRNAs:1.0,0.9641665176
omv:controlPCN_highOD_intracellularRNAs:2.0,3.5445966103
omv:controlPCN_highOD_intracellularRNAs:3.0,2.7064292778
omv:spi1_ind_highOD_intracellularRNAs:2.0,-0.8800868948
omv:spi1_ind_highOD_intracellularRNAs:3.0,-0.7290737435
omv:controlPCN_lowOD_intracellularRNAs:1.0,0.13516677030000002
omv:controlPCN_lowOD_intracellularRNAs:2.0,-0.0791885298
omv:spi2_ind_lowOD_intracellularRNAs:3.0,-0.5212217003
omv:controlPCN_lowOD_intracellularRNAs:3.0,-0.055978240500000005
sv5015:STM1625:1.0,0.1434269059
sv5015:STM1625:2.0,0.2962273901
sv5015:STM1625:3.0,0.6010737047
sv5015:STM0581:1.0,0.2491945888
sv5015:STM0581:2.0,-0.5341227163
sv5015:STM0581:3.0,0.172474815
sv5015:WT:1.0,-0.3619122866
sv5015:WT:2.0,0.3108750141
sv5015:WT:3.0,0.0510372725
tomato:tomato_root:1.0,-1.0004311008
tomato:tomato_root:2.0,-0.7155475131
tomato:tomato_root:3.0,-1.1891930507
tomato:LB:1.0,0.0354591562
tomato:LB:2.0,-0.0354591562
AcrB_efflux_virulence:AcrB_D408A:1.0,-1.0741251662
AcrB_efflux_virulence:AcrB_D408A:2.0,-0.4285461544
AcrB_efflux_virulence:AcrB_D408A:3.0,-0.5438662288
AcrB_efflux_virulence:WT:1.0,-0.3702640264
AcrB_efflux_virulence:WT:2.0,0.4177261739
AcrB_efflux_virulence:WT:3.0,-0.0474621475
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:1.0,0.1185961742
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:1.0,-2.7822828513
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:2.0,-3.3687818479000002
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_0:1.0,-0.7256328481000001
Chlortetracycline_florfenicol_MDR:1434_Chlortetracycline_16:3.0,-2.7003935484
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_32:1.0,-2.5470532756
Chlortetracycline_florfenicol_MDR:530_Florfenicol_0:1.0,1.2152859354
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:2.0,0.5049347063
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_0:3.0,-0.9920717116000001
Chlortetracycline_florfenicol_MDR:530_Florfenicol_0:2.0,0.0319988716
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:1.0,-2.5772275274
Chlortetracycline_florfenicol_MDR:5317_Chlortetracycline_16:2.0,-3.0145583341
