,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X,rep19_idx,rep19_X,rep20_idx,rep20_X,rep21_idx,rep21_X
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.10142618094097616,3.0,0.0,0.0038640466,1.0,-0.10330298580000001,2.0,0.0994389392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-1.580207481333333,0.5883445400766263,3.0,3.0,-2.0081333437,4.0,-1.8232006641,5.0,-0.9092884362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-1.9300013510999998,0.03971053410828107,3.0,6.0,-1.9244203843,7.0,-1.8933765313,8.0,-1.9722071377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-1.4285715467719585e-11,0.7643500693739339,21.0,9.0,0.5062623696,10.0,-0.0326883912,11.0,-0.38307336540000003,12.0,-0.0103778566,13.0,0.40710870730000004,14.0,-0.1446270761,15.0,-0.5643462981,16.0,-0.5449650555000001,17.0,-0.5222778593,18.0,-1.5033176338,19.0,-1.4653609096,20.0,-0.37774627380000003,21.0,0.0421188672,22.0,-0.0125042192,23.0,0.2123261166,24.0,0.1709005733,25.0,0.19215502880000002,26.0,-0.00037330370000000004,27.0,1.1679793462,28.0,1.6319088231999999,29.0,1.2308984098
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-1.3457626096238093,0.8410818626642934,21.0,30.0,-1.2544931691,31.0,-2.3285435384,32.0,-2.4397235263,33.0,-2.1856643478,34.0,-1.6130623549,35.0,-1.4777174706,36.0,-0.2163241876,37.0,-1.6197873048,38.0,-0.9910878086,39.0,-2.0960519525,40.0,-2.3349878178,41.0,-1.6119437687,42.0,-0.2919912128,43.0,-1.4775939863,44.0,-1.9273207586,45.0,-1.3307775131000001,46.0,-1.7620292091,47.0,-1.5816180615,48.0,0.2410212864,49.0,-0.2583446527,50.0,0.2970265527
5,WT_vs_Del_ccpA__THY_None_WT_exponential,5.782411586589357e-18,0.22328424864559698,3.0,51.0,-0.2311851808,52.0,0.21444052830000002,53.0,0.016744652500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-0.34138754742500005,0.17525119852714258,4.0,54.0,-0.123035984,55.0,-0.5321811333,56.0,-0.4171327731,57.0,-0.2932002993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,1.3877787807814457e-17,0.4293159720564159,4.0,58.0,-0.6230096653,59.0,0.0541967839,60.0,0.2908960525,61.0,0.2779168289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,-0.428250980725,0.17395278312350632,4.0,62.0,-0.6070615449,63.0,-0.21802118780000002,64.0,-0.5279705487,65.0,-0.3599506415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,-0.379387258275,0.08295006065366277,4.0,66.0,-0.2874809776,67.0,-0.4803400204,68.0,-0.4061928674,69.0,-0.34353516770000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,0.190636367225,0.10919397310383341,4.0,70.0,0.22631536800000002,71.0,0.31360938050000003,72.0,0.0530463601,73.0,0.1695743603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-4.625929269271485e-18,0.12666069969180055,6.0,74.0,0.0426280595,75.0,0.0645163102,76.0,0.0332716229,86.0,-0.0739409151,88.0,-0.2141400411,90.0,0.1476649636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,0.151311322,0.16594097704377733,6.0,77.0,0.21678867710000002,78.0,0.3829388508,79.0,0.228281016,87.0,0.07685528450000001,89.0,0.1096449503,91.0,-0.1066408467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,0.48960499350000003,0.14408696958344444,3.0,80.0,0.4553318079,82.0,0.3657448971,84.0,0.6477382755000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,2.2326202924,0.2122221597215551,3.0,81.0,2.3193414277,83.0,2.3877485874,85.0,1.9907708621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,4.625929269271485e-18,0.1898751413425115,3.0,92.0,0.21912312490000002,93.0,-0.1031302795,94.0,-0.1159928454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,-1.1672926112333333,0.16743866299990598,3.0,95.0,-1.0744690108,96.0,-1.3605837506,97.0,-1.0668250723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,-0.32949927059999995,0.7732400274256394,3.0,98.0,0.3954591217,99.0,-1.1433393391,100.0,-0.2406175944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,-0.8786772738333334,0.16353373134576502,3.0,101.0,-1.0321981019,102.0,-0.8971365941,103.0,-0.7066971255000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,WT_vs_Del_fabT__THY_35°C_WT_stationary,-2.2378386400333334,0.02999655186648436,3.0,104.0,-2.2261785596,105.0,-2.2154228838,106.0,-2.2719144767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,WT_vs_Del_fabT__THY_35°C_Del_fabT_stationary,0.3093428904,0.7221767142978718,3.0,107.0,0.8918191660000001,108.0,0.5349028253,109.0,-0.4986933201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,WT_vs_Del_fabT__THY_40°C_WT_stationary,-1.7797635349,0.22308010415022989,3.0,110.0,-1.5290309044,111.0,-1.9562629497000001,112.0,-1.8539967506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,WT_vs_Del_fabT__THY_40°C_Del_fabT_stationary,-0.7810119297,0.33329881589970783,3.0,113.0,-0.6235910536,114.0,-0.5555807864,115.0,-1.1638639491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
