,SP5448_06600
SRX1726505,-0.37049792530000003
SRX1726506,0.27965126
SRX1726507,0.0908466653
SRX1726508,-0.3924917604
SRX1726509,-0.5489761554
SRX1726510,-0.0619018797
SRX1726511,-0.9702763653
SRX1726512,-0.9172716237
SRX1726513,-0.6690480753
SRX1081650,0.422419876
SRX1081651,0.003576655
SRX1081652,-0.0579965505
SRX1081653,-0.0362165239
SRX1081654,-0.0484925038
SRX1081655,0.0273468039
SRX1081656,-0.0861556757
SRX1081657,-0.7229917516000001
SRX1081658,-0.2955699886
SRX1081659,0.3102188475
SRX1081660,0.3475181886
SRX1081661,-0.015544053300000001
SRX1081662,-0.047366793000000004
SRX1081663,-0.1473642177
SRX1081664,-0.0198999756
SRX1081665,0.239559609
SRX1081666,0.0554571051
SRX1081668,0.0584124428
SRX1081669,0.13880897250000002
SRX1081670,-0.1202693786
SRX1081671,-0.005451088000000001
SRX1081672,-0.4072472468
SRX1081673,-0.4893095692
SRX1081674,-0.5544045692
SRX1081675,-0.4192932102
SRX1081676,-0.5736099526
SRX1081677,-0.3885810396
SRX1081678,-0.7632498655000001
SRX1081679,-0.7031082049
SRX1081680,-0.3968602511
SRX1081681,-0.460267998
SRX1081682,-0.3585441764
SRX1081683,-0.4055164411
SRX1081684,-0.3210390891
SRX1081685,-0.6747434265000001
SRX1081686,-0.50619045
SRX1081687,-0.8923694531
SRX1081688,-1.5836300585
SRX1081689,-0.6415033549
SRX1081690,-0.7770243141000001
SRX1081691,-0.5986974557
SRX1081692,-0.1612963202
SRX1962715,-0.0348081899
SRX1962716,-0.013799944900000001
SRX1962717,0.0486081348
SRX1962718,-0.7974255998
SRX1962719,-0.4560888241
SRX1962720,-0.5791555608
SRX1962721,-0.6443640176000001
SRX4892146,-0.2107831778
SRX4892147,0.1056354531
SRX4892148,0.0670519249
SRX4892149,0.0380957997
SRX4892150,-0.5194909768
SRX4892151,-0.1281437037
SRX4892152,-0.2623377502
SRX4892153,-0.2500562108
SRX4892154,-0.1350312542
SRX4892155,-0.16101764270000002
SRX4892156,0.0222832627
SRX4892157,-0.2131797886
SRX4892158,-0.1266371707
SRX4892159,-0.0769214672
SRX4892160,-0.0032842034
SRX4892161,-0.012559261200000001
SRX7620814,0.0694601724
SRX7620815,-0.07761734470000001
SRX7620816,-0.0942073444
SRX7620817,-0.17951000420000002
SRX7620818,-0.1756833563
SRX7620819,-0.0816578532
SRX7620856,-0.3795933207
SRX7620857,-1.340445252
SRX7620858,0.12062016490000001
SRX7620859,-1.1451668945
SRX7620860,-1.0079558682
SRX7620861,-1.3527803251
SRX7620862,-0.4068868316
SRX7620863,-1.0800157199
SRX7620864,0.24971420260000002
SRX7620865,-1.1585612535
SRX7620866,0.2595371457
SRX7620867,-1.3716941582
SRX2161502,0.043937641900000005
SRX2161503,0.0660567875
SRX2161504,-0.10999442940000001
SRX2161505,-0.1389792847
SRX2161506,-0.3283827785
SRX2161507,-0.174933883
SRX2161508,0.2161062119
SRX2161509,0.1520661646
SRX2161510,0.1274987755
SRX2161511,-0.0769317789
SRX2161512,0.0038133716
SRX2161513,-0.23803469200000002
SRX2161514,-0.7580549836
SRX2161515,-0.694357557
SRX2161516,-0.7568887059
SRX2161517,-0.5499410316000001
SRX2161518,-0.7243278083
SRX2161519,-0.40354742130000004
SRX2161520,-0.6203005744
SRX2161521,-0.6289112798000001
SRX2161522,-0.41966945720000004
SRX2161523,-0.4115897834
SRX2161524,-0.5007964748
SRX2161525,-0.7458828366
