k,name,in_iM,gene_weight,regulator,function,category
32,Unc_11,False,-0.027486379000000002,,Translation,Uncharacterized
11,Unc_3,False,-0.0256065556,,Translation,Uncharacterized
41,SLO,False,-0.023466650500000002,,Toxin production,Virulence
25,Unc_9,False,-0.023143011,,Noisy group of genes,Uncharacterized
0,FabT,False,-0.022985090700000002,FabT,Lipid use,Metabolic
20,Unc_7,False,0.0226729752,,Translation,Uncharacterized
36,HrcA,False,-0.016922414900000002,HrcA,Translation,Functional
5,CcpA-1,False,-0.0148779639,CcpA,Amino acid use,Metabolic
38,SpeB,False,-0.0143090879,,Toxin production,Virulence
8,PyrR,False,-0.013692546600000001,PyrR,Nucleotides,Metabolic
6,Rgg,False,-0.013445418,Rgg,Multi-purpose metabolism,Metabolic
16,NrdR,False,-0.013295973800000001,NrdR,Nucleotides,Metabolic
24,Unc_8,False,-0.012680347000000002,,Translation,Functional
10,Unc_2,False,-0.0119295287,,Noisy genes,Uncharacterized
14,Unc_4,False,-0.0113407279,,Multi-purpose metabolism,Metabolic
3,Unc_1,False,0.0112977284,,Carbon use,Uncharacterized
27,Unc_10,False,-0.0108819838,,Noisy group of genes,Uncharacterized
37,Phage_3-2,False,0.0100010269,Phage_3,Prophages,Uncharacterized
2,Phage_1-1,False,-0.0090245628,Phage_1,Prophages,Uncharacterized
31,Phage_2-3,False,-0.0088257843,Phage_2,Prophages,Uncharacterized
33,Galactose,False,-0.008800794800000001,,Carbon use,Metabolic
4,GlnR,False,0.0083551265,GlnR,Amino acid use,Metabolic
9,MalR,False,0.0074717422,MalR,Carbon use,Metabolic
28,CovR-2,False,-0.0073664701,CovR,Replication,Virulence
30,Phage_3-1,False,0.0073319624,Phage_3,Prophages,Uncharacterized
1,CovR-1,False,0.0051561407,CovR,Noisy group of genes,Virulence
34,Transport-1,False,-0.0042121643000000005,,Multi-purpose metabolism,Functional
12,VicR,False,-0.0041704569,VicR,Carbon use,Metabolic
17,Unc_5,False,-0.0038844378,,Noisy genes,Uncharacterized
40,Unc_12,False,-0.0033138663,,General stress,Uncharacterized
19,Unc_6,False,0.0027834304,,General stress,Uncharacterized
15,NanR,False,0.0027493092,NanR,Carbon use,Metabolic
13,Phage_1-2,False,-0.0017471249000000002,Phage_1,Prophages,Uncharacterized
23,SLS,False,-0.0014373664,,Toxin production,Virulence
18,PurR,False,-0.0013507194000000001,PurR,Nucleotides,Metabolic
22,Phage_2-2,False,0.0013196918,Phage_2,Prophages,Uncharacterized
26,Mga,False,0.0010107609,Mga,Carbon use,Metabolic
21,CcpA-2,False,-0.0007026898,CcpA,Multi-purpose metabolism,Metabolic
29,MalR2,False,-0.0006341851,MalR2,Carbon use,Metabolic
7,Phage_2-1,False,0.0005087733,Phage_2,Prophages,Uncharacterized
39,Transport-2,False,-0.0004747442,,Multi-purpose metabolism,Functional
35,YwzG,False,-0.0002982307,YwzG,Noisy genes,Functional
