,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.7537314761021079,3.0,0.0,-0.2838505141,1.0,-0.5705933759,2.0,0.85444389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-0.9360617883,0.5981578761243469,3.0,3.0,-0.4491845739,4.0,-0.7552295170000001,5.0,-1.603771274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-0.7263127921666667,0.3016456682459802,3.0,6.0,-0.3980131664,7.0,-0.789692441,8.0,-0.9912327691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,9.523471958129362e-12,8.655888313382212,21.0,9.0,2.3472459496,10.0,3.6240211655,11.0,4.6760663083,12.0,2.7742397864,13.0,3.0263454564,14.0,1.6235826509,15.0,4.3349005447,16.0,5.2399108243,17.0,5.2206797965,18.0,3.5879305275,19.0,2.6391207391,20.0,4.2513711703,21.0,3.7129777603000003,22.0,2.9134558659,23.0,2.1505951308,24.0,2.8797669736,25.0,3.145908977,26.0,2.3654460381,27.0,-14.0871182582,28.0,-22.8717225893,29.0,-23.5547248175
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,1.1503247378380947,8.872170073858731,21.0,30.0,5.7697625079,31.0,3.9111871445,32.0,4.6534574855,33.0,3.6878581449,34.0,2.4806631746,35.0,3.5863233072,36.0,5.7106927743,37.0,5.3608455112,38.0,7.2507378166,39.0,3.7351523124,40.0,4.8392129394,41.0,4.4107944038,42.0,3.867823677,43.0,4.5337190612,44.0,3.8103354795,45.0,4.2239741775,46.0,6.4421876383,47.0,5.3935245452,48.0,-17.3290583974,49.0,-20.9327580319,50.0,-21.2496161771
5,WT_vs_Del_ccpA__THY_None_WT_exponential,5.782411586589357e-19,0.08655131686055874,3.0,51.0,0.07837046190000001,52.0,-0.0928944804,53.0,0.014524018500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,0.32414561255,0.6082697063075356,4.0,54.0,0.9074413221000001,55.0,0.7660189168,56.0,-0.031907026000000005,57.0,-0.3449707627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-1.734723475976807e-18,0.18881480186055447,4.0,58.0,-0.1079952044,59.0,0.2761392164,60.0,-0.13357479790000001,61.0,-0.0345692141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,0.10398566477500001,0.2886426647059168,4.0,62.0,0.0360391788,63.0,0.28285494910000003,64.0,-0.2733304254,65.0,0.37037895660000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.149922872825,0.3157023543811424,4.0,66.0,0.5594940198,67.0,0.1158553979,68.0,0.1347881109,69.0,-0.2104460373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-0.275845640875,0.10588458024451386,4.0,70.0,-0.2343819047,71.0,-0.1511278187,72.0,-0.3232103704,73.0,-0.3946624697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,1.666666804567285e-11,1.483744811602351,6.0,74.0,-0.8565323049,75.0,-1.569894957,76.0,-1.5714130855000001,86.0,1.279982816,88.0,1.4229822166,90.0,1.2948753149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-2.2183496746,0.3704188120735459,6.0,77.0,-2.3973641274,78.0,-2.5270029104000002,79.0,-2.6487330074,87.0,-1.7043021689,89.0,-2.1339349394,91.0,-1.8987608941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,0.03140106256666669,0.6000412346738887,3.0,80.0,0.6603332952000001,82.0,-0.5348242013,84.0,-0.031305906200000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-1.1237955534666668,0.7434816061209041,3.0,81.0,-1.9700030921,83.0,-0.5753342961,85.0,-0.8260492722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,0.0,0.2880259940694758,3.0,92.0,-0.1195990304,93.0,-0.2089587911,94.0,0.3285578215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,-0.7964332486333334,0.32225218002140793,3.0,95.0,-0.534396308,96.0,-1.1562506456000001,97.0,-0.6986527923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,-0.7526611540666668,0.4645701633382448,3.0,98.0,-0.9619956367,99.0,-0.2202559761,100.0,-1.0757318494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,-0.8712174162,0.5431775083551525,3.0,101.0,-1.3959583426,102.0,-0.3113120379,103.0,-0.9063818681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
