,PN96_RS00955
SBRG_BHIN_Growth_Late_1,-1.3140572049999992
SBRG_BHIN_Growth_Late_2,-1.1288157169999993
SBRG_BHIN_Growth_Mid_1,-1.9397057779999995
SBRG_BHIN_Growth_Mid_2,-2.0847735899999997
SBRG_BHIN_Growth_Stat_1,-2.144202944999999
SBRG_BHIN_Growth_Stat_2,-2.171992735999999
SBRG_LBv2_Growth_Late_1,0.3993226340000007
SBRG_LBv2_Growth_Late_2,-0.3157791539999994
SBRG_LBv2_Growth_Mid_1,0.0577800710000016
SBRG_LBv2_Growth_Mid_2,-0.0577800709999998
SBRG_LBv2_Growth_Stat_1,-3.24298638
SBRG_LBv2_Growth_Stat_2,-4.531700583999999
SBRG_MHB_Rich_Mid_1,-0.0044887229999996
SBRG_MHB_Rich_Mid_2,-0.8455289909999992
SBRG_NBO_Rich_Mid_1,0.5249546680000012
SBRG_NBO_Rich_Mid_2,-0.2280222829999996
SBRG_M9Na_Arabinose_Mid_1,-0.7020294530000015
SBRG_M9Na_Arabinose_Mid_2,-0.6223003020000011
SBRG_M9Na_Galactose_Mid_1,-0.4550168600000006
SBRG_M9Na_Galactose_Mid_2,-0.4188703280000005
SBRG_M9Na_GlcNAcGrowth_Late_1,-0.8909459760000011
SBRG_M9Na_GlcNAcGrowth_Late_2,-0.616546339000001
SBRG_M9Na_GlcNAcGrowth_Mid_1,-0.3858687890000016
SBRG_M9Na_GlcNAcGrowth_Mid_2,-0.4552046280000006
SBRG_M9Na_GlcNAcGrowth_Stat_1,-3.479417891000001
SBRG_M9Na_GlcNAcGrowth_Stat_2,-3.759390993000001
SBRG_M9Na_GlcNAc_Mid_1,-1.087398667000001
SBRG_M9Na_GlcNAc_Mid_2,-1.203608977000001
SBRG_M9Na_Gluconate_Mid_1,-1.7857502700000012
SBRG_M9Na_Gluconate_Mid_2,-2.388338894000001
SBRG_M9Na_Glucosamine_Mid_1,-2.5698958130000014
SBRG_M9Na_Glucosamine_Mid_2,-2.981482455000001
SBRG_M9Na_Glycerol_Mid_1,-1.1688497170000014
SBRG_M9Na_Glycerol_Mid_2,-1.4708702610000008
SBRG_M9Na_Maltose_Mid_1,-0.6917992880000003
SBRG_M9Na_Maltose_Mid_2,-0.595289128000001
SBRG_M9Na_Mannitol_Mid_1,-1.2181492530000009
SBRG_M9Na_Mannitol_Mid_2,-1.007671073000001
SBRG_M9Na_Trehalose_Mid_1,-0.8693609250000005
SBRG_M9Na_Trehalose_Mid_2,-1.4031703170000007
SBRG_M9Na_ethanol_Mid_1,-4.3474152240000015
SBRG_M9Na_ethanol_Mid_2,-4.190531440000001
SBRG_M9Na_fructose_Mid_1,-1.9575119630000009
SBRG_M9Na_fructose_Mid_2,-1.3363435790000011
SBRG_M9Na_fumarate_Mid_1,-1.1172799000000015
SBRG_M9Na_fumarate_Mid_2,-1.2725570700000013
SBRG_M9Na_glucoseGrowth_Late_1,-0.248343129000002
SBRG_M9Na_glucoseGrowth_Late_2,-0.2964071790000009
SBRG_M9Na_glucoseGrowth_Mid_1,-0.0279656260000003
SBRG_M9Na_glucoseGrowth_Mid_2,0.0279656259999985
SBRG_M9Na_glucoseGrowth_Stat_1,-1.697157443000001
SBRG_M9Na_glucoseGrowth_Stat_2,-2.1691923300000013
SBRG_M9Na_ribose_Mid_1,-0.4938176870000017
SBRG_M9Na_ribose_Mid_2,-1.850144697000001
SBRG_M9Na_succinate_Mid_1,-1.1442614090000012
SBRG_M9Na_succinate_Mid_2,-1.3950880560000014
SBRG_M9Na_sucrose_Mid_1,-0.6211411680000012
SBRG_M9Na_sucrose_Mid_2,-0.4491021040000014
SBRG_LBv2_HapROver_Late_1,-0.5480940780000001
SBRG_LBv2_HapROver_Late_2,-0.5429969149999998
SBRG_LBv2_HapROver_Mid_1,-0.922052418999999
SBRG_LBv2_HapROver_Mid_2,-1.2308297249999995
SBRG_LBv2_HapROver_Stat_1,0.5134076790000002
SBRG_LBv2_HapROver_Stat_2,0.4130583360000006
SBRG_LBv2_LuxOOver_Late_1,-1.6792207569999995
SBRG_LBv2_LuxOOver_Late_2,-1.6173222349999996
SBRG_LBv2_LuxOOver_Mid_1,0.623703377
SBRG_LBv2_LuxOOver_Mid_2,0.8790107620000001
SBRG_LBv2_LuxOOver_Stat_1,1.1352330360000007
SBRG_LBv2_LuxOOver_Stat_2,1.3708712310000006
SBRG_LBv2_QstROver_Late_1,-1.910371044
SBRG_LBv2_QstROver_Late_2,-2.3002880569999995
SBRG_LBv2_QstROver_Mid_1,-0.2720039099999987
SBRG_LBv2_QstROver_Mid_2,0.1307242479999999
SBRG_LBv2_QstROver_Stat_1,0.9630459200000008
SBRG_LBv2_QstROver_Stat_2,1.0222455240000006
SBRG_LBv2_TfoXOver_Late_1,-4.479359602999999
SBRG_LBv2_TfoXOver_Late_2,-4.141952560999999
SBRG_LBv2_TfoXOver_Mid_1,-0.237207906
