,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X
0,RichMedia__BHIN_Growth_Late,-3.8864163939999994,0.20334862827749575,2.0,0.0,-3.7426272,1.0,-4.030205587999999
1,RichMedia__BHIN_Growth_Mid,-4.564443517,0.4901710763095623,2.0,2.0,-4.217840225,3.0,-4.911046809
2,RichMedia__BHIN_Growth_Stat,-4.149607756,0.021868619296865094,2.0,4.0,-4.165071205,5.0,-4.134144307
3,RichMedia__LBv2_Growth_Late,0.6796861409999999,0.1808468811251057,2.0,6.0,0.8075641969999996,7.0,0.5518080850000002
4,RichMedia__LBv2_Growth_Mid,4.579669976578771e-16,0.20846376660770777,2.0,8.0,0.1474061430000004,9.0,-0.1474061429999995
5,RichMedia__LBv2_Growth_Stat,-6.378265845,0.18954125114611448,2.0,10.0,-6.512291749,11.0,-6.244239941
6,RichMedia__MHB_Rich_Mid,-0.6416522140000002,1.0219679647073767,2.0,12.0,-1.3642926920000005,13.0,0.0809882640000001
7,RichMedia__NBO_Rich_Mid,0.6006771710000005,0.18105470546495178,2.0,14.0,0.728702181000001,15.0,0.472652161
8,Carbon__M9Na_Arabinose_Mid,-0.9217532299999999,0.3479802733430231,2.0,16.0,-0.6756940189999998,17.0,-1.167812441
9,Carbon__M9Na_Galactose_Mid,-0.25629180599999984,0.05017805930309622,2.0,18.0,-0.2208105599999998,19.0,-0.2917730519999999
10,Carbon__M9Na_GlcNAcGrowth_Late,-0.324101996,0.050216863909033946,2.0,20.0,-0.2885933110000001,21.0,-0.3596106809999999
11,Carbon__M9Na_GlcNAcGrowth_Mid,-0.2703834194999999,0.044454334672413554,2.0,22.0,-0.238949458,23.0,-0.3018173809999998
12,Carbon__M9Na_GlcNAcGrowth_Stat,-1.135767786,0.10321513092765192,2.0,24.0,-1.062783667,25.0,-1.208751905
13,Carbon__M9Na_GlcNAc_Mid,-0.5184671009999999,0.02142609773106277,2.0,26.0,-0.5033165619999997,27.0,-0.5336176400000001
14,Carbon__M9Na_Gluconate_Mid,1.9198411525,0.10464871002344124,2.0,28.0,1.84584334,29.0,1.993838965
15,Carbon__M9Na_Glucosamine_Mid,0.43599376049999994,0.5246536964013743,2.0,30.0,0.8069799469999999,31.0,0.065007574
16,Carbon__M9Na_Glycerol_Mid,-0.2813882814999999,0.2922328027363167,2.0,32.0,-0.4880280780000001,33.0,-0.0747484849999997
17,Carbon__M9Na_Maltose_Mid,-0.8227530979999998,0.41548838141108374,2.0,34.0,-0.5289584459999999,35.0,-1.1165477499999998
18,Carbon__M9Na_Mannitol_Mid,-0.5444214914999999,0.32189718378609466,2.0,36.0,-0.3168058099999999,37.0,-0.7720371729999997
19,Carbon__M9Na_Trehalose_Mid,-0.4128133395,0.4447373379340216,2.0,38.0,-0.7272901269999998,39.0,-0.0983365520000001
20,Carbon__M9Na_ethanol_Mid,-0.966419806,0.795147025823342,2.0,40.0,-1.52867366,41.0,-0.404165952
21,Carbon__M9Na_fructose_Mid,-0.9596593135,0.060380929211787664,2.0,42.0,-0.916963549,43.0,-1.002355078
22,Carbon__M9Na_fumarate_Mid,1.827901578,1.1446930485403737,2.0,44.0,2.637321795,45.0,1.018481361
23,Carbon__M9Na_glucoseGrowth_Late,-0.01693246349999985,0.1472304258280538,2.0,46.0,-0.1210400959999997,47.0,0.087175169
24,Carbon__M9Na_glucoseGrowth_Mid,0.0,0.13614029812931955,2.0,48.0,0.0962657280000001,49.0,-0.0962657280000001
25,Carbon__M9Na_glucoseGrowth_Stat,-0.4263421135,0.3232885422430864,2.0,50.0,-0.197742593,51.0,-0.654941634
26,Carbon__M9Na_ribose_Mid,0.324451026,0.14550577612528423,2.0,52.0,0.4273391470000001,53.0,0.2215629049999998
27,Carbon__M9Na_succinate_Mid,-0.8848581630000001,0.49856148516696885,2.0,54.0,-1.23739437,55.0,-0.5323219560000001
28,Carbon__M9Na_sucrose_Mid,4.9509789515,0.1872906243067999,2.0,56.0,5.0834134220000005,57.0,4.818544481
29,TF__LBv2_HapROver_Late,0.009614233000000208,0.2543489566005898,2.0,58.0,-0.1702376389999997,59.0,0.1894661050000001
30,TF__LBv2_HapROver_Mid,-2.4887594870000003,0.007056638590888765,2.0,60.0,-2.48376969,61.0,-2.493749284
31,TF__LBv2_HapROver_Stat,-0.37919887399999963,0.010902132754354612,2.0,62.0,-0.3714899019999995,63.0,-0.3869078459999997
32,TF__LBv2_LuxOOver_Late,-2.61019634,0.23347349423374533,2.0,64.0,-2.7752870309999995,65.0,-2.4451056490000003
33,TF__LBv2_LuxOOver_Mid,-2.004993595,0.14876341565199697,2.0,66.0,-2.110185215,67.0,-1.899801975
34,TF__LBv2_LuxOOver_Stat,-1.9625197179999998,0.25919562911340216,2.0,68.0,-1.7792407309999998,69.0,-2.145798705
35,TF__LBv2_QstROver_Late,-3.569034977,0.14798762051808584,2.0,70.0,-3.464391927,71.0,-3.673678027
36,TF__LBv2_QstROver_Mid,-5.2994156055,0.08832589244187006,2.0,72.0,-5.361871443,73.0,-5.236959768
37,TF__LBv2_QstROver_Stat,-5.593766464,0.027016205343051835,2.0,74.0,-5.612869806,75.0,-5.574663122
38,TF__LBv2_TfoXOver_Late,-6.4106941074999995,0.09680234770926631,2.0,76.0,-6.342244511,77.0,-6.479143704
39,TF__LBv2_TfoXOver_Mid,-1.534384282,0.08869335108731513,2.0,78.0,-1.4716686120000002,79.0,-1.5970999519999998
