,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A
0,RichMedia__BHIN_Growth_Late,-6.490678252869078,0.26588666972355,2.0,0.0,-6.678688520057708,1.0,-6.302667985680448
1,RichMedia__BHIN_Growth_Mid,-2.7720915140358438,3.3438193232893885,2.0,2.0,-5.136528832596383,3.0,-0.4076541954753047
2,RichMedia__BHIN_Growth_Stat,-0.10633377111037434,2.420194533849654,2.0,4.0,-1.81766973778608,5.0,1.6050021955653313
3,RichMedia__LBv2_Growth_Late,2.1351934582043497,0.27187952406800764,2.0,6.0,1.9429456030700905,7.0,2.327441313338609
4,RichMedia__LBv2_Growth_Mid,2.7200464103316335e-15,0.8929964312754338,2.0,8.0,-0.6314438321302432,9.0,0.6314438321302487
5,RichMedia__LBv2_Growth_Stat,0.648599566073957,2.1355611642497507,2.0,10.0,-0.86147021480568,11.0,2.158669346953594
6,RichMedia__MHB_Rich_Mid,-4.816367259120915,0.3109225913359476,2.0,12.0,-5.036222731878657,13.0,-4.596511786363172
7,RichMedia__NBO_Rich_Mid,-4.0433168300116265,1.761848946154534,2.0,14.0,-5.28913216726387,15.0,-2.797501492759383
8,Carbon__M9Na_Arabinose_Mid,1.382583055963763,0.9577454673102557,2.0,16.0,2.059811370549524,17.0,0.7053547413780025
9,Carbon__M9Na_Galactose_Mid,3.698017007056295,0.724178092474858,2.0,18.0,3.1859457670805846,19.0,4.210088247032006
10,Carbon__M9Na_GlcNAcGrowth_Late,2.213528579084674,0.7184987040105886,2.0,20.0,1.705473273205041,21.0,2.7215838849643075
11,Carbon__M9Na_GlcNAcGrowth_Mid,-2.0271314402575316,0.6255011136705305,2.0,22.0,-1.5848353611413617,23.0,-2.469427519373701
12,Carbon__M9Na_GlcNAcGrowth_Stat,28.336034658007563,0.00638660893567109,2.0,24.0,28.33151864352036,25.0,28.34055067249476
13,Carbon__M9Na_GlcNAc_Mid,1.6347937519729192,0.8990923435396749,2.0,26.0,0.9990394589431102,27.0,2.2705480450027284
14,Carbon__M9Na_Gluconate_Mid,0.17204842492145378,1.9107917713402038,2.0,28.0,1.5231822438715668,29.0,-1.1790853940286592
15,Carbon__M9Na_Glucosamine_Mid,23.42720544459391,0.148707135451449,2.0,30.0,23.532357268482457,31.0,23.322053620705365
16,Carbon__M9Na_Glycerol_Mid,2.9340348094084954,0.6185185113380882,2.0,32.0,2.496676175751925,33.0,3.3713934430650663
17,Carbon__M9Na_Maltose_Mid,-0.6914911389723242,2.2465007119801372,2.0,34.0,0.8970247484092378,35.0,-2.280007026353886
18,Carbon__M9Na_Mannitol_Mid,2.848121922578917,0.652438224652807,2.0,36.0,3.309465415536229,37.0,2.386778429621605
19,Carbon__M9Na_Trehalose_Mid,3.129884059255345,0.34765491772075463,2.0,38.0,2.8840549094221486,39.0,3.375713209088542
20,Carbon__M9Na_ethanol_Mid,39.40738690331217,2.57333516523355,2.0,40.0,37.58776415770972,41.0,41.22700964891462
21,Carbon__M9Na_fructose_Mid,2.7251041074249343,0.3204141030842205,2.0,42.0,2.4985371223462765,43.0,2.951671092503592
22,Carbon__M9Na_fumarate_Mid,-0.5772852684111821,1.1263808359785006,2.0,44.0,-1.3737567957301522,45.0,0.219186258907788
23,Carbon__M9Na_glucoseGrowth_Late,4.29103888000733,0.030607179371549553,2.0,46.0,4.312681424093945,47.0,4.269396335920714
24,Carbon__M9Na_glucoseGrowth_Mid,-7.494005416219807e-15,0.9344839745724945,2.0,48.0,-0.6607799553303757,49.0,0.6607799553303607
25,Carbon__M9Na_glucoseGrowth_Stat,24.938542570773993,1.0086058528210136,2.0,50.0,25.651734608848173,51.0,24.225350532699814
