,name,x,y,cog,color,link
meta,start,0.08919492473084689,,,,
SACI_RS00005,cdc6-3,101,0.010492163323017736,"Replication, recombination and repair",#1e90ff,
SACI_RS00010,Saci_0002,1294,-0.007637454443463611,Function Unknown,#708090,
SACI_RS00015,Saci_0003,1665,-0.00576154269676581,Function Unknown,#708090,
SACI_RS00020,Saci_0004,2553,-0.010290101611777642,Function Unknown,#708090,
SACI_RS00025,Saci_0005,3049,-0.018952517038351685,Function Unknown,#708090,
SACI_RS00030,Saci_0006,3801,0.024315451105497172,Transcription,#000000,
SACI_RS11965,Saci_0007,4138,0.004901889978936319,No arCOG annotation,#87ceeb,
SACI_RS00035,ramA,4456,-0.014396825311998224,General Function Prediction Only,#0000ff,
SACI_RS00040,nadE,5262,-0.009611953765268084,Coenzyme transport and metabolism,#008000,
SACI_RS00045,Saci_0010,6117,0.014775899560605541,Function Unknown,#708090,
SACI_RS00050,Saci_0011,7727,-0.0008823777657582764,Nucleotide transport and metabolism,#add8e6,
SACI_RS00055,Saci_0012,8367,0.0037277624448082414,General Function Prediction Only,#0000ff,
SACI_RS00060,nudF,8989,0.006472159985327657,"Replication, recombination and repair",#1e90ff,
SACI_RS00065,Saci_0014,9521,0.018825347602162798,Function Unknown,#708090,
SACI_RS00070,nfo,10199,-0.008134884087317223,"Replication, recombination and repair",#1e90ff,
SACI_RS00075,Saci_0016,11025,-0.016295597677664017,General Function Prediction Only,#0000ff,
SACI_RS00080,Saci_0017,11673,-0.009110352549189862,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00085,gph_1,12269,0.003001645150733659,General Function Prediction Only,#0000ff,
SACI_RS00090,Saci_0019,12928,-0.0018175174985555216,Transcription,#000000,
SACI_RS00095,Saci_0020,13239,0.004297826395039728,Coenzyme transport and metabolism,#008000,
SACI_RS00100,Saci_0022,14302,0.0038007529939225147,Function Unknown,#708090,
SACI_RS00105,nadA,14685,-0.00040006876894215214,Coenzyme transport and metabolism,#008000,
SACI_RS00110,kynu,15604,0.003931722716324674,"Posttranslational modification, protein turnover, chaperones",#ff00ff,
SACI_RS00115,acs,16715,0.0014662418397538065,Lipid transport and metabolism,#87cefa,
SACI_RS00120,Saci_0026,18433,0.0042980297163114425,Defense mechanisms,#d3d3d3,
SACI_RS00125,nadK,18899,0.0018286029972057602,Coenzyme transport and metabolism,#008000,
SACI_RS00130,Saci_0028,19654,-0.010187570847527512,Function Unknown,#708090,
SACI_RS00135,Saci_0029,20087,0.01417721228949579,"Posttranslational modification, protein turnover, chaperones",#ff00ff,
SACI_RS00140,Saci_0030,21085,0.025786663899584682,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS11510,Saci_0031,21901,0.004378908451887464,Function Unknown,#708090,
SACI_RS00145,Saci_0032,22370,0.0036983831269245056,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS11515,rnp4,22557,0.01027252549607094,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00150,Saci_0034,22932,0.015440417325728944,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00155,Saci_0035,23574,0.0022622532096161943,Function Unknown,#708090,
SACI_RS00160,Saci_0037,24505,0.013392777113982922,Amino acid transport and metabolism,#ff0000,
SACI_RS00165,mqnD,25618,-0.01981836047706995,General Function Prediction Only,#0000ff,
SACI_RS00170,Saci_0039,26513,-0.015873904322451136,Nucleotide transport and metabolism,#add8e6,
SACI_RS00175,Saci_0040,27019,0.0008108527881356452,Function Unknown,#708090,
SACI_RS00180,trxA,27676,0.0025435337673998804,"Posttranslational modification, protein turnover, chaperones",#ff00ff,
SACI_RS00185,dtdA,28098,-0.006529463291930025,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00190,pspB,28791,-0.003888729365064269,General Function Prediction Only,#0000ff,
SACI_RS00195,IMPDH_1,29614,0.08281069434046423,Function Unknown,#708090,
SACI_RS00200,Saci_0045,30140,0.004348144134294453,Function Unknown,#708090,
SACI_RS00205,clsN,30432,0.015954604421001127,"Replication, recombination and repair",#1e90ff,
SACI_RS00210,rihA_1,32386,-0.011001901119358384,Nucleotide transport and metabolism,#add8e6,
SACI_RS00215,Saci_0048,33275,-0.013362817198367093,Inorganic ion transport and metabolism,#8b4513,
SACI_RS00220,Saci_0049,34242,-0.012362241673854149,Function Unknown,#708090,
SACI_RS00225,nurA,34784,0.0048705076307400145,"Replication, recombination and repair",#1e90ff,
SACI_RS00230,rad50,35772,0.029468244710924563,"Replication, recombination and repair",#1e90ff,
SACI_RS00235,mre11,38429,0.01580117168323604,"Replication, recombination and repair",#1e90ff,
SACI_RS00240,herA,39583,0.003660479264552242,"Replication, recombination and repair",#1e90ff,
SACI_RS00245,Saci_0054,41173,-0.030145827402697733,Function Unknown,#708090,
SACI_RS00250,Saci_0055,41687,0.00786018946223708,Function Unknown,#708090,
SACI_RS00255,nnr,42224,-0.0020333979984650547,Carbohydrate transport and metabolism,#ffc0cb,
SACI_RS00260,bcpB,43732,-0.02233062784332527,"Posttranslational modification, protein turnover, chaperones",#ff00ff,
SACI_RS00265,ppcA,44258,0.0094127625993752,Carbohydrate transport and metabolism,#ffc0cb,
SACI_RS00270,Saci_0060,45790,0.019829555106873804,General Function Prediction Only,#0000ff,
SACI_RS00275,meaB,46630,-0.023411429282712302,Amino acid transport and metabolism,#ff0000,
SACI_RS00280,mcmB,47573,-0.01831176672563426,Lipid transport and metabolism,#87cefa,
SACI_RS00290,sac7d,48401,0.013262195976424642,"Replication, recombination and repair",#1e90ff,
SACI_RS00295,Saci_0065,48720,0.001855498292968179,General Function Prediction Only,#0000ff,
SACI_RS00305,lysS,49408,-0.0012519655041233766,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00310,Saci_0068,50870,0.006800410441059897,Cell wall/membrane/envelope biogenesis,#c71585,
SACI_RS00315,Saci_0069,51981,0.005521053522908154,General Function Prediction Only,#0000ff,
SACI_RS00320,Saci_0070,52633,0.014016953325076091,Function Unknown,#708090,
SACI_RS00325,Saci_0071,53147,-0.008827076290544003,General Function Prediction Only,#0000ff,
SACI_RS00330,pelA,54137,-0.003668426953817732,General Function Prediction Only,#0000ff,
SACI_RS00335,rimI,55188,0.000835127985356704,General Function Prediction Only,#0000ff,
SACI_RS00340,dpo3,55685,0.001290543726881663,"Replication, recombination and repair",#1e90ff,
SACI_RS00345,dnaG,58023,0.0027563497390339807,"Replication, recombination and repair",#1e90ff,
SACI_RS00350,tyrS,59271,-0.002942656346132675,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00355,Saci_0077,60401,0.006728053941441907,Function Unknown,#708090,
SACI_RS00360,Saci_0078,60797,-0.022747371687216158,Function Unknown,#708090,
SACI_RS00365,Saci_0079,61236,-0.0012387543659405456,"Posttranslational modification, protein turnover, chaperones",#ff00ff,
SACI_RS00370,rps13,62537,-0.011524352678953726,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00375,rps4,63067,-0.014044844335326429,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00380,rps11,63581,-0.010723438465261286,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00385,rpoD,63991,-0.01215092039683508,Transcription,#000000,
SACI_RS00390,rpl18e,64785,-0.006126990912325468,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00395,rpl13,65138,0.0015199998367339232,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00400,rps9,65581,-0.005276854198342179,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00405,rpoN,66004,0.0015703656150045679,Transcription,#000000,
SACI_RS00410,rps2,66214,-0.006126661180415466,"Translation, ribosomal structure and biogenesis",#daa520,
SACI_RS00415,amrB,66888,-0.006824704588845447,General Function Prediction Only,#0000ff,
SACI_RS00420,Saci_0090,67735,-0.002340445801026733,Function Unknown,#708090,
SACI_RS00425,fni,68396,-0.009823349882614142,Coenzyme transport and metabolism,#008000,
SACI_RS00430,gds,69496,0.0068657499555234884,Coenzyme transport and metabolism,#008000,
SACI_RS00435,gnpTA,70488,-0.001131033840453003,Cell wall/membrane/envelope biogenesis,#c71585,
SACI_RS00440,ppaX,71474,0.03543899614028702,General Function Prediction Only,#0000ff,
SACI_RS00455,doxB,72941,-0.019510068523185847,Energy production and conversion,#90ee90,
SACI_RS00460,doxC,74714,-0.0239767030985129,Energy production and conversion,#90ee90,
SACI_RS00465,doxE,75808,-0.03260511881308518,Energy production and conversion,#90ee90,
SACI_RS00470,ycfH_1,76005,0.0077734335242366625,"Replication, recombination and repair",#1e90ff,
SACI_RS00475,Saci_0101,76782,-7.601635550387972e-05,Transcription,#000000,
SACI_RS11785,SACI_RS11785,76954,-0.0012914555345059865,No arCOG annotation,#87ceeb,
SACI_RS00480,sta1,77181,-0.0015860100543044473,Transcription,#000000,
SACI_RS00485,Saci_0103,77583,0.005041479229757152,General Function Prediction Only,#0000ff,
SACI_RS00490,Saci_0104,78251,0.010534550958839206,"Secondary metabolites biosynthesis, transport and catabolism",#00ff00,
SACI_RS00495,mobA_1,78712,0.010938252287654543,Coenzyme transport and metabolism,#008000,
SACI_RS00500,Saci_0106,79274,0.015032031379751253,Coenzyme transport and metabolism,#008000,
SACI_RS00505,mobB,80463,0.033763548909669566,Coenzyme transport and metabolism,#008000,
SACI_RS00510,COQ5_1,81151,0.02893866244584188,"Secondary metabolites biosynthesis, transport and catabolism",#00ff00,
SACI_RS00515,Saci_0109,81827,0.003854782416366776,Function Unknown,#708090,
SACI_RS00520,Saci_0110,82213,0.003673343046110789,Function Unknown,#708090,
SACI_RS00525,Saci_0111,82751,-0.01822587394832526,Function Unknown,#708090,
SACI_RS00530,mntR,83009,-0.015387254334273816,Transcription,#000000,
SACI_RS00535,Saci_0113,83637,-0.00034787100061224715,Carbohydrate transport and metabolism,#ffc0cb,
SACI_RS00545,Saci_0114,85270,0.02378715631819853,"Posttranslational modification, protein turnover, chaperones",#ff00ff,
SACI_RS00550,Saci_0116,86173,-0.027735001262624917,Function Unknown,#708090,
SACI_RS00555,tpiA,86487,-0.006778775660070596,Carbohydrate transport and metabolism,#ffc0cb,
SACI_RS00560,Saci_0118,87193,0.01305244895347028,General Function Prediction Only,#0000ff,
