locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FliA,link
b1923,0.2928757842,fliC,flagellar filament structural protein,Cell motility,fliC,"GadE,FliA,H-NS,EcpR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10321
b1886,0.2787149412,tar,methyl-accepting chemotaxis protein Tar,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10988
b1885,0.2570611681,tap,methyl-accepting chemotaxis protein Tap,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10987
b1890,0.2504402168,motA,motility protein A,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10601
b3525,0.2468773461,pdeH,c-di-GMP phosphodiesterase PdeH,Signal transduction mechanisms,pdeH,"FlhDC,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12252
b1888,0.24276070160000002,cheA,chemotaxis protein CheA,Cell motility,motAB-cheAW,"YciT,FliA,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10146
b1887,0.2379753815,cheW,chemotaxis protein CheW,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10149
b1889,0.2378685633,motB,motility protein B,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10602
b1194,0.2119746284,ycgR,flagellar brake protein YcgR,Cell wall/membrane/envelope biogenesis,ycgR,"FlhDC,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6623
b1884,0.21039990420000002,cheR,chemotaxis protein methyltransferase,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10148
b1883,0.20522806470000002,cheB,protein-glutamate methylesterase/protein glutamine deamidase,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10147
b4355,0.19799407330000002,tsr,methyl-accepting chemotaxis protein Tsr,Cell motility,tsr,"RpoD,YbiH,YddM,FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11034
b1882,0.1956643079,cheY,chemotaxis protein CheY,Transcription,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10150
b1881,0.1801559657,cheZ,chemotaxis protein CheZ,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10151
b1566,0.1567209097,flxA,Qin prophage%3B protein FlxA,No COG annotation,flxA,"Fis,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
b4110,0.140848031,yjcZ,uncharacterized protein YjcZ,Function unknown,crfC-yjcZ,"FliA,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7823
b1924,0.1333853307,fliD,flagellar filament capping protein,Cell motility,fliDST,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1742,0.1163481717,ves,HutD family protein Ves,Function unknown,ves,FliA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b1082,0.1079892909,flgK,flagellar hook-filament junction protein 1,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1922,0.1061808113,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,fliAZ-tcyJ,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1083,0.0961722534,flgL,flagellar hook-filament junction protein 2,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1925,0.0948159286,fliS,flagellar biosynthesis protein FliS,Cell motility,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
