locus,gene_weight,gene_name,gene_product,cog,regulator,fur,link
STM3444,0.2531083267,bfd,regulatory or redox component complexing with Bfr,Inorganic ion transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3444
STM4550,0.21441619720000002,fhuF,ferric hydrozamate transport protein,Function unknown,"fnr,fur,nac,oxyR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4550
STM1346,0.21169229350000002,ydiE,putative cytoplasmic protein,Inorganic ion transport and metabolism,fur,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1346
STM0592,0.2021113792,fepD,ferric enterobactin (enterochelin) transporter,Inorganic ion transport and metabolism,"fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0592
STM0191,0.1964409098,fhuA,outer membrane protein receptor / transporter for ferrichrome%2C colicin M%2C and phages T1%2C T5%2C and phi80,Inorganic ion transport and metabolism,"fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0191
STM0192,0.1635288376,fhuC,hydroxymate-dependent iron transport,Coenzyme transport and metabolism,"fur,rpoD,trpR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0192
STM0586,0.1484676861,fes,enterochelin esterase,Inorganic ion transport and metabolism,"fnr,fur,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0586
STM3159,0.1467860082,exbB,uptake of enterochelin,"Intracellular trafficking, secretion, and vesicular transport","fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3159
STM0193,0.13507176340000002,fhuD,hydroxamate-dependent iron uptake,Inorganic ion transport and metabolism,"fur,rpoD,trpR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0193
STM0593,0.1306743149,ybdA,putative POT family transport protein,Amino acid transport and metabolism,"fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0593
STM1737,0.1285206727,tonB,TonB,"Intracellular trafficking, secretion, and vesicular transport","fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1737
STM3505,0.1269847993,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,"arcA,fnr,fur,nagC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3505
STM0594,0.1249709492,fepB,ferric enterobactin (enterochelin) transporter,Inorganic ion transport and metabolism,"fur,rpoD,rutR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0594
STM3158,0.1223420327,exbD,uptake of enterochelin,"Intracellular trafficking, secretion, and vesicular transport","fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3158
STM0590,0.1211538868,fepC,enterobactin transporter,Coenzyme transport and metabolism,"fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0590
STM2861,0.12009363490000001,sitA,fur regulated Salmonella iron transporter,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2861
STM0591,0.11852275820000001,fepG,ferric enterobactin transporter,Inorganic ion transport and metabolism,"fur,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0591
STM3507,0.1141889789,yhgG,putative cytoplasmic protein,Transcription,"arcA,fnr,fur,nagC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3507
STM3506,0.11220484100000001,feoB,ferrous iron transport protein B,Inorganic ion transport and metabolism,"arcA,fnr,fur,nagC,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3506
STM0194,0.1079461927,fhuB,hydroxamate-dependent iron uptake,Inorganic ion transport and metabolism,"fur,rpoD,trpR",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0194
STM0587,0.1072554361,ybdZ,putative cytoplasmic protein,Function unknown,"fnr,fur,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0587
STM2805,0.10533514220000001,nrdH,glutaredoxin-like protein,"Post-translational modification, protein turnover,and chaperones","cra,fur,iscR,nrdR,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2805
STM3214,0.1018372443,yqjH,putative transporter,Inorganic ion transport and metabolism,"fur,rpoD,yqjI",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3214
STM0363,0.0951878731,STM0363,putative transcription regulator%2C AraC family,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0363
STM2263,0.093837004,yojI,putative ABC-type multidrug/protein/lipid transport system,Inorganic ion transport and metabolism,"fur,lrp,nac,rpoD,ydcI",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2263
STM2862,0.0859711,sitB,fur regulated Salmonella iron transporter,Inorganic ion transport and metabolism,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2862
STM1935,-0.1209939326,ftn,cytoplasmic ferritin,Inorganic ion transport and metabolism,"fur,h-NS,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1935
