,name,x,y,cog,color,link
meta,start,0.0846668037289168,,,,
PP_0001,parB,147,0.0015290324934905,"Replication, recombination and repair",#1e90ff,
PP_0002,parA,1029,0.0027407004984514,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0003,rsmG,1839,-0.0003327204430861,"Translation, ribosomal structure and biogenesis",#daa520,
PP_0004,trmF,2486,0.0010010159225459,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
PP_0005,trmE,5012,-0.0008963126963865,"Translation, ribosomal structure and biogenesis",#daa520,
PP_0006,oxaA,6471,-0.007235844774341,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PP_0007,yidD,8156,0.0030080313216892,Function unknown,#0000ff,
PP_0008,rnpA,8394,-0.001381263427043,"Translation, ribosomal structure and biogenesis",#daa520,
PP_0009,rpmH,8812,0.0036603741571392,"Translation, ribosomal structure and biogenesis",#daa520,
PP_0010,dnaA,9542,-0.0004001640938262,Nucleotide transport and metabolism,#87ceeb,
PP_0011,dnaN,11103,0.0012213445708255,"Replication, recombination and repair",#1e90ff,
PP_0012,recF,12222,-0.0076634304802131,"Replication, recombination and repair",#1e90ff,
PP_0013,gyrB,13330,-0.0018576683461351,"Replication, recombination and repair",#1e90ff,
PP_5421,PP_5421,16589,-0.0267003761352107,"Replication, recombination and repair",#1e90ff,
PP_0014,PP_0014,17208,-0.0256597547703626,"Replication, recombination and repair",#1e90ff,
PP_0015,PP_0015,19163,-0.0249442275594808,Function unknown,#0000ff,
PP_0016,PP_0016,20198,-0.0096988695083297,Function unknown,#0000ff,
PP_0017,PP_0017,22171,0.0017096768638406,No COG annotation,#00bfbf,
PP_0018,PP_0018,23176,-0.0127045883308814,No COG annotation,#00bfbf,
PP_0019,PP_0019,24000,0.005458906340438,No COG annotation,#00bfbf,
PP_0020,PP_0020,24695,0.0006993453704246,No COG annotation,#00bfbf,
PP_0021,PP_0021,25881,-0.0017630117289924,No COG annotation,#00bfbf,
PP_0022,PP_0022,26989,-0.0013368966766568,No COG annotation,#00bfbf,
PP_0023,PP_0023,27599,-0.0009216434979742,No COG annotation,#00bfbf,
PP_0024,PP_0024,27850,0.0084509004786872,Function unknown,#0000ff,
PP_0025,PP_0025,29990,0.0155959737991414,No COG annotation,#00bfbf,
PP_0026,PP_0026,30431,-0.0098230550972329,Inorganic ion transport and metabolism,#8b4513,
PP_0027,PP_0027,31404,0.0020029884134672,No COG annotation,#00bfbf,
PP_0028,PP_0028,31877,0.016667369013094,Function unknown,#0000ff,
