,name,x,y,cog,color,link
meta,start,0.0595787081571606,,,,
STM0002,thrA,337,-0.0192851929,Amino acid transport and metabolism,#ff0000,
STM0003,thrB,2801,-0.0160543762,Nucleotide transport and metabolism,#00bfbf,
STM0004,thrC,3734,-0.0093529116,Amino acid transport and metabolism,#ff0000,
STM0005,yaaA,5114,-6.99272e-05,Function unknown,#708090,
STM0006,yaaJ,5966,-0.012315256200000001,"Intracellular trafficking, secretion, and vesicular transport",#8b4513,
STM0007,talB,7665,-0.0157762988,Nucleotide transport and metabolism,#00bfbf,
STM0008,mog,8729,-0.0083506776,Coenzyme transport and metabolism,#008000,
STM0009,yaaH,9376,-0.0237025474,Function unknown,#708090,
STM0010,htgA,10092,0.0043395785,Function unknown,#708090,
STM0011,yaaI,10841,-0.0012143252,Function unknown,#708090,
STM0012,dnaK,11593,-0.01235147,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
STM0013,dnaJ,13595,0.013239790100000001,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
STM0014,STM0014,15014,-0.0001632829,Transcription,#f4a460,
STM0015,STM0015,16088,0.0173880957,Function unknown,#708090,
STM0016,STM0016,16493,-0.0027943559,Function unknown,#708090,
STM0017,STM0017,17043,-0.0097396205,Transcription,#f4a460,
STM0018,STM0018,17867,0.016714219000000002,Carbohydrate transport and metabolism,#ffc0cb,
STM0019,STM0019,20058,0.0004446321,Function unknown,#708090,
STM0020,STM0020,23335,-0.0129370048,Signal transduction mechanisms,#00ff00,
STM0021,bcfA,24469,-0.0152971517,Cell motility,#da70d6,
STM0022,bcfB,25112,-0.0107618647,Cell wall/membrane/envelope biogenesis,#c71585,
STM0023,bcfC,25803,0.0015665064,Cell motility,#da70d6,
STM0024,bcfD,28425,-0.0052794332,Cell motility,#da70d6,
STM0025,bcfE,29433,0.0180149454,Cell motility,#da70d6,
STM0026,bcfF,29994,-0.0144520961,Cell motility,#da70d6,
STM0027,bcfG,30478,-0.0089524519,Cell motility,#da70d6,
STM0028,bcfH,31274,0.0043718403,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
STM0029,STM0029,32545,-0.0247265872,Transcription,#f4a460,
STM0030,STM0030,33364,-0.015517400800000001,Transcription,#f4a460,
STM0031,STM0031,34376,-0.0358799323,Transcription,#f4a460,
STM0032,STM0032,35339,0.0207251832,Cell wall/membrane/envelope biogenesis,#c71585,
STM0033,STM0033,37103,0.0004213606,Nucleotide transport and metabolism,#00bfbf,
STM0034,STM0034,38773,-0.0252101414,Function unknown,#708090,
STM0035,STM0035,40131,-0.0001139364,Inorganic ion transport and metabolism,#0000ff,
