k,name,in_iM,gene_weight,regulator,function,category
36,Null-4,False,-0.0269925922141133,,Unknown,Uncharacterized
20,TfoX,False,0.0263062653780932,TfoX,Competence TfoX regulation,Competence
38,UC-7,False,-0.0172748380159818,,Unknown,Uncharacterized
21,NorR2,False,-0.0167334892035673,NorR2,Nitrosative stress response,Stress response
34,Phage-2,False,-0.0134644482186092,,Phage,Phage
16,UC-4,False,-0.0129925513487515,,Unknown,Uncharacterized
22,UC-6,False,-0.0126056815201838,,Unknown,Uncharacterized
0,UC-1,False,-0.0125646599161519,,Unknown,Uncharacterized
6,Ttr/Vi,False,-0.01195143032952,,biosynthesis of Vi antigen capsular polysaccharides and tetrathionate reductase ,Structural components
31,Null-3,False,-0.0115242108180418,,Unknown,Uncharacterized
10,FruR,False,-0.0115092583909926,FruR,Fructose utilization,Carbon source utilization
9,Flagellar-1,False,0.0113794781820056,,flagellar assembly protein (Class2),Structural components
43,MetJ,False,0.0109015366444004,MetJ,Methionine metabolism; Methionine biosynthesis,Amino acid
24,Phage-1,False,0.010521430490348,,Phage,Phage
44,UC-9,False,-0.0095105969189135,,Unknown,Uncharacterized
40,QstR,False,-0.0093776519235852,QstR,Competence QstR regulation,Competence
1,LiuR/TyrR/Purine,False,-0.0091835847639796,LiuR,Branched-chain amino acid degradation,Amino acid
33,TreR,False,0.0088718286377339,TreR,,
15,Zur,False,0.0088494792060582,Zur,Zinc homeostasis,Element homeostasis
13,Null-1,False,-0.0082212864105857,,Unknown,Uncharacterized
39,AhpCF,False,-0.0074572881969663,,Alleviation of oxidative stress,Stress response
28,FNR,False,-0.0074168077074194,,Fumarate and nitrate reduction,Energy metabolism
19,UC-5,False,-0.0071139228137496,,Unknown,Uncharacterized
37,Arabinose,False,0.0068783486681348,,"Arabinose transporter, Arabinose utilization",Carbon source utilization
35,ArgR,False,-0.0065101523991699,ArgR,Arginine biosynthesis; Arginine degradation,Amino acid
12,UC-2,False,-0.0063841449389552,,Unknown,Uncharacterized
5,CytochromeO,False,0.0059812335104842,,Cytochrome O,Energy metabolism
8,GalR,False,-0.0057774758546976,GalR,D-galactose utilization ,Carbon source utilization
25,PhrR,False,-0.0057595693705536,PhrR,Light-dependent DNA repair,Stress response
4,Cysteine,False,0.0056666439231446,,Sulfate assimilation and Cysteine biosynthesis ,Amino acid
3,TRAP,False,0.0053240218202114,,"Tripartite ATP-Independent Periplasmic (TRAP) Transporters, TTT transporters",Carbon source utilization
7,NarP,False,-0.0043437020343844,NarP,Nitrate and nitrite respiration,Energy metabolism
18,Fur,False,0.00395654903922,Fur,Ion homeostasis,Element homeostasis
14,UC-3,False,0.0038264421819818,,Unknown,Uncharacterized
42,UC-8,False,-0.0034876635922529,,Unknown,Uncharacterized
11,Chaperone,False,-0.0031761605046849,,Chaperone protiens,Translation
26,Null-2,False,-0.0022464137421119,,Unknown,Uncharacterized
29,Ribosomal proteins,False,0.0017774078010824,,Translation machinery,Translation
27,Maltose,False,0.0013516032849034,,Maltose utilization,Carbon source utilization
41,Biofilm,False,-0.0013471922363197,,Biofilm formation,Structural components
30,GntR,False,-0.0010182451533102,GntR,Gluconate utilization,Carbon source utilization
2,MetR/TPP,False,-0.0009788744263443,TPP,Methionine biosynthesis,Amino acid
17,Flagellar-2,False,-0.0006259871554861,,flagellar assembly protein (Class3),Structural components
23,GlpR,False,0.0006061678895257,,Glycerol utilization,Carbon source utilization
32,CueR,False,0.0001990527289163,CueR,Copper resistance,Element homeostasis
