,name,x,y,cog,color,link
meta,start,0.090333655,,,,
PA0001,dnaA,483,0.002495059,"Replication, recombination and repair",#1e90ff,
PA0002,dnaN,2056,0.005308972,"Replication, recombination and repair",#1e90ff,
PA0003,recF,3169,-0.004236455,"Replication, recombination and repair",#1e90ff,
PA0004,gyrB,4275,-0.00019537500000000002,"Replication, recombination and repair",#1e90ff,
PA0005,lptA,7018,0.00029043,Lipid transport and metabolism,#87cefa,
PA0006,PA0006,7803,0.00435255,Carbohydrate transport and metabolism,#ffc0cb,
PA0007,PA0007,8671,-0.000896038,Energy production and conversion,#708090,
PA0008,glyS,10434,0.002580235,"Translation, ribosomal structure and biogenesis",#daa520,
PA0009,glyQ,12488,0.006926875000000001,"Translation, ribosomal structure and biogenesis",#daa520,
PA0010,tag,13540,-0.010890047,"Replication, recombination and repair",#1e90ff,
PA0011,PA0011,14235,0.010525802,Cell wall/membrane/envelope biogenesis,#c71585,
PA0012,PA0012,15207,0.00440296,Function unknown,#0000ff,
PA0013,PA0013,15620,0.000386459,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PA0014,PA0014,16335,-0.003943315,No COG annotation,#00bfbf,
PA0015,PA0015,16900,0.0077537330000000005,Cell motility,#da70d6,
PA0016,trkA,17366,0.0017664360000000001,Inorganic ion transport and metabolism,#8b4513,
PA0017,PA0017,18767,-0.007859329,"Translation, ribosomal structure and biogenesis",#daa520,
PA0018,fmt,20068,0.001995544,"Translation, ribosomal structure and biogenesis",#daa520,
PA0019,def,21067,0.003082993,"Translation, ribosomal structure and biogenesis",#daa520,
PA0020,PA0020,21712,0.002422273,Function unknown,#0000ff,
PA0021,PA0021,22872,-0.008819269000000001,"Replication, recombination and repair",#1e90ff,
PA0022,PA0022,24001,0.002176882,"Translation, ribosomal structure and biogenesis",#daa520,
PA0023,qor,24568,-0.0025886620000000003,Energy production and conversion,#708090,
PA0024,hemF,25736,0.00291565,Coenzyme transport and metabolism,#d3d3d3,
PA0025,aroE,26711,0.0053496740000000004,Amino acid transport and metabolism,#ff0000,
PA0026,plcB,27646,0.018893574,No COG annotation,#00bfbf,
PA0027,PA0027,28613,0.005441649000000001,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0028,PA0028,29896,0.004273328,No COG annotation,#00bfbf,
PA0029,PA0029,30502,0.00662837,Inorganic ion transport and metabolism,#8b4513,
PA0030,PA0030,32060,0.008488375000000001,Amino acid transport and metabolism,#ff0000,
PA0031,betC,33000,0.014349597,Inorganic ion transport and metabolism,#8b4513,
PA0032,PA0032,34624,0.0071546100000000005,Transcription,#000000,
PA0032a,PA0032a,35549,0.002753288,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
PA0033,PA0033,35905,-0.000196092,Signal transduction mechanisms,#f4a460,
PA0034,PA0034,36278,0.005877641,Transcription,#000000,
PA0035,trpA,37087,0.0012927330000000001,Amino acid transport and metabolism,#ff0000,
PA0036,trpB,37890,0.0035725880000000002,Amino acid transport and metabolism,#ff0000,
PA0037,trpI,39202,-0.006477086000000001,Transcription,#000000,
PA0038,PA0038,40190,0.00384306,Function unknown,#0000ff,
PA0039,PA0039,40589,-0.0032161060000000003,Function unknown,#0000ff,
PA0040,PA0040,41113,0.0022134150000000003,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PA0041,PA0041,42914,0.000983664,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PA0041a,PA0041a,54121,0.008116792000000001,"Replication, recombination and repair",#1e90ff,
PA0042,PA0042,56546,0.0062651320000000005,No COG annotation,#00bfbf,
PA0043,PA0043,57212,-0.0150707,Function unknown,#0000ff,
PA0044,exoT,58786,0.006800279,Function unknown,#0000ff,
PA0045,PA0045,60656,0.0067990740000000004,Cell wall/membrane/envelope biogenesis,#c71585,
PA0046,PA0046,61373,0.01750153,Function unknown,#0000ff,
PA0047,PA0047,61879,0.0031158970000000003,Function unknown,#0000ff,
PA0048,PA0048,62403,0.001547097,Transcription,#000000,
PA0049,PA0049,63068,0.001447195,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0050,PA0050,65339,0.014857192000000002,No COG annotation,#00bfbf,
PA0051,phzH,66303,0.0035948160000000002,Amino acid transport and metabolism,#ff0000,
PA0052,PA0052,68188,-0.012683603000000002,"Replication, recombination and repair",#1e90ff,
PA0054,PA0054,69543,0.005842618,"Translation, ribosomal structure and biogenesis",#daa520,
PA0055,PA0055,70130,0.0027136620000000004,Function unknown,#0000ff,
PA0056,PA0056,70702,0.010362259,Transcription,#000000,
PA0057,PA0057,71730,0.017944359,Function unknown,#0000ff,
PA0058,PA0058,72680,0.0012994360000000002,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0059,osmC,73468,0.023581345,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0060,PA0060,74034,0.026451565000000003,Function unknown,#0000ff,
PA0061,PA0061,74279,0.003594219,No COG annotation,#00bfbf,
PA0062,PA0062,74773,-0.002995545,No COG annotation,#00bfbf,
PA0063,PA0063,75281,0.000693268,Function unknown,#0000ff,
PA0064,PA0064,76416,-0.003607747,No COG annotation,#00bfbf,
PA0065,PA0065,77432,-0.010979329000000001,Function unknown,#0000ff,
PA0066,PA0066,78090,0.0052821280000000005,Function unknown,#0000ff,
PA0067,prlC,78710,-0.00287056,Amino acid transport and metabolism,#ff0000,
PA0068,PA0068,80752,0.000983636,Function unknown,#0000ff,
PA0069,PA0069,81116,0.011587821,"Replication, recombination and repair",#1e90ff,
PA0070,PA0070,82404,-0.007941819000000001,Function unknown,#0000ff,
PA0071,tagR1,83380,-0.00712397,Function unknown,#0000ff,
PA0072,PA0072,85085,-0.006939609,Defense mechanisms,#90ee90,
PA0073,PA0073,86284,-0.014846525000000001,Defense mechanisms,#90ee90,
PA0074,ppkA,87000,-0.0035528440000000003,Transcription,#000000,
PA0075,pppA,90106,0.000510637,Signal transduction mechanisms,#f4a460,
PA0076,PA0076,90844,-0.007053317000000001,Function unknown,#0000ff,
PA0077,icmF1,91521,-0.001894529,Function unknown,#0000ff,
PA0078,PA0078,95048,0.005589946,Cell motility,#da70d6,
PA0079,PA0079,96404,-0.000705791,Function unknown,#0000ff,
PA0080,PA0080,97754,-0.0051480250000000005,Function unknown,#0000ff,
PA0081,fha1,98263,-0.00019216,Signal transduction mechanisms,#f4a460,
PA0082,PA0082,100124,0.002063887,Function unknown,#0000ff,
PA0083,PA0083,101247,0.010431331,Function unknown,#0000ff,
PA0084,PA0084,101778,-0.0006876450000000001,Function unknown,#0000ff,
PA0085,hcp1,103350,-0.006700323,Function unknown,#0000ff,
PA0086,PA0086,104006,0.004769614,Function unknown,#0000ff,
PA0087,PA0087,104853,-0.00364197,Function unknown,#0000ff,
PA0088,PA0088,105359,-0.0010511140000000001,Function unknown,#0000ff,
PA0089,PA0089,107182,-0.005995485,Function unknown,#0000ff,
PA0090,clpV1,108221,-0.010248142,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0091,vgrG1,110976,-0.01473458,Function unknown,#0000ff,
PA0092,PA0092,113022,-0.001578647,No COG annotation,#00bfbf,
PA0093,PA0093,113303,0.003707058,Function unknown,#0000ff,
PA0094,PA0094,114611,0.0053256350000000004,Function unknown,#0000ff,
PA0095,PA0095,115299,0.0024024230000000003,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
PA0096,PA0096,117552,0.009083924,No COG annotation,#00bfbf,
PA0097,PA0097,117931,0.013511454,Function unknown,#0000ff,
PA0098,PA0098,119127,0.0024851490000000003,Cell wall/membrane/envelope biogenesis,#c71585,
PA0099,PA0099,120164,0.006216644,Transcription,#000000,
PA0100,PA0100,121346,0.0035508840000000002,Function unknown,#0000ff,
PA0101,PA0101,122248,-0.00939155,Energy production and conversion,#708090,
PA0102,PA0102,123871,0.014836732000000002,Inorganic ion transport and metabolism,#8b4513,
PA0103,PA0103,124810,0.010502878,Inorganic ion transport and metabolism,#8b4513,
PA0103a,PA0103a,126368,-0.008181074,No COG annotation,#00bfbf,
PA0105,coxB,127378,0.010351609000000001,Energy production and conversion,#708090,
PA0106,coxA,128512,0.014221571,Energy production and conversion,#708090,
PA0107,PA0107,130115,0.004186118,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0108,coIII,130680,-0.001259492,Energy production and conversion,#708090,
PA0109,PA0109,131583,-0.030372512,Function unknown,#0000ff,
PA0110,PA0110,131808,0.00196483,Function unknown,#0000ff,
PA0111,PA0111,132577,-0.013096341000000001,Function unknown,#0000ff,
PA0112,PA0112,133220,0.004896369,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0113,PA0113,134319,0.006182137000000001,"Post-translational modification, protein turnover,and chaperones",#add8e6,
PA0114,senC,135259,0.012635490000000001,Function unknown,#0000ff,
PA0115,PA0115,135934,0.005497061,Function unknown,#0000ff,
PA0116,PA0116,136518,-0.008775972,Transcription,#000000,
PA0117,PA0117,137248,-0.003244672,Lipid transport and metabolism,#87cefa,
PA0118,PA0118,138001,-0.0056516940000000005,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
PA0119,PA0119,138818,0.015871813000000002,Energy production and conversion,#708090,
PA0120,PA0120,140216,-0.003060927,Transcription,#000000,
PA0121,PA0121,141003,0.016744489,Transcription,#000000,
PA0122,PA0122,141917,0.003437564,Function unknown,#0000ff,
PA0123,PA0123,142359,0.018663694,Transcription,#000000,
PA0124,PA0124,143567,0.02155892,Function unknown,#0000ff,
PA0125,PA0125,143845,-0.003486406,Transcription,#000000,
PA0126,PA0126,144248,0.0008761180000000001,No COG annotation,#00bfbf,
PA0127,PA0127,144969,0.029247555,Function unknown,#0000ff,
PA0128,PA0128,145542,0.003910023,Inorganic ion transport and metabolism,#8b4513,
