,name,x,y,cog,color,link
meta,start,0.06319929194631001,,,,
BSU_00010,dnaA,410,0.0014055706442313244,"Replication, recombination and repair",#1e90ff,
BSU_00020,dnaN,1939,0.003270289181028373,"Replication, recombination and repair",#1e90ff,
BSU_00030,rlbA,3206,-0.01157172070125845,Function unknown,#0000ff,
BSU_00040,recF,3437,0.0007931700581627367,"Replication, recombination and repair",#1e90ff,
BSU_00050,remB,4567,-0.005852662443125784,Function unknown,#0000ff,
BSU_00060,gyrB,4867,-0.00047054379521849454,"Replication, recombination and repair",#1e90ff,
BSU_00070,gyrA,6994,0.003413685188476657,"Replication, recombination and repair",#1e90ff,
BSU_00080,yaaC,14847,0.0019625686586466,Function unknown,#0000ff,
BSU_00090,guaB,15915,-0.010804351391354631,Nucleotide transport and metabolism,#87ceeb,
BSU_00100,dacA,17534,-0.0030490757486960605,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_00110,pdxS,19062,-0.007864362462536995,Coenzyme transport and metabolism,#d3d3d3,
BSU_00120,pdxT,19968,-0.007975315848341862,Coenzyme transport and metabolism,#d3d3d3,
BSU_00130,serS,20880,0.0019611117855684547,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00140,dck,22496,0.0060495433452972215,Nucleotide transport and metabolism,#87ceeb,
BSU_00150,dgk,23146,-0.006731436740194457,Nucleotide transport and metabolism,#87ceeb,
BSU_00160,sleL,23868,-0.0005257734404576559,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_00170,yaaI,25221,0.008145323266815658,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
BSU_00180,tadA,25852,-0.004934091737121689,Nucleotide transport and metabolism,#87ceeb,
BSU_00190,dnaX,26814,-0.005927543135258596,"Replication, recombination and repair",#1e90ff,
BSU_00200,ebfC,28529,0.004921514042910017,Function unknown,#0000ff,
BSU_00210,recR,28867,-0.007935133352429655,"Replication, recombination and repair",#1e90ff,
BSU_00220,yaaL,29481,-0.00022715282039897358,Function unknown,#0000ff,
BSU_00230,bofA,29772,-0.009490578643462337,Function unknown,#0000ff,
BSU_00240,csfB,35531,-0.008466238596226873,Function unknown,#0000ff,
BSU_00250,xpaC,35845,-0.004319690258711053,Function unknown,#0000ff,
BSU_00260,yaaN,36478,-0.01206891463864228,Inorganic ion transport and metabolism,#8b4513,
BSU_00270,yaaO,37720,-0.008715008105238165,Amino acid transport and metabolism,#ff0000,
BSU_00280,tmk,39159,-0.0063070064114878685,Nucleotide transport and metabolism,#87ceeb,
BSU_00290,darA,39871,-0.007006610265064761,Function unknown,#0000ff,
BSU_00300,yaaR,40213,-0.001921020329446552,Function unknown,#0000ff,
BSU_00310,holB,40665,-0.005848642550469968,"Replication, recombination and repair",#1e90ff,
BSU_00320,ricT,41657,-0.011916448555766046,Function unknown,#0000ff,
BSU_00330,dnaH,42499,-0.007172776042470445,"Replication, recombination and repair",#1e90ff,
BSU_00340,trmNF,42917,-0.007974116784053438,Function unknown,#0000ff,
BSU_00350,yazA,43647,-0.011270162715487229,"Replication, recombination and repair",#1e90ff,
BSU_00360,rsmI,43921,-0.007863616397341152,Coenzyme transport and metabolism,#d3d3d3,
BSU_00370,abrB,44848,0.004897786449691185,Transcription,#000000,
BSU_00380,metS,45633,-0.000242968507039449,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00390,dayD,47706,0.0011639875753171837,"Replication, recombination and repair",#1e90ff,
BSU_00400,yabE,48629,0.0005300699749885746,Signal transduction mechanisms,#f4a460,
BSU_00410,rnmV,50087,-0.012885293093499624,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00420,rsmA,50640,-0.006898463503932223,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00430,prtG,51680,-0.0046151837759394005,Function unknown,#0000ff,
BSU_00440,veg,52763,-0.002633809704884661,Function unknown,#0000ff,
BSU_00450,sspF,53183,-0.008581839901423806,Function unknown,#0000ff,
BSU_00460,ispE,53516,-0.003631581169805462,Lipid transport and metabolism,#87cefa,
BSU_00470,purR,54441,-0.011497465094995886,Nucleotide transport and metabolism,#87ceeb,
BSU_00480,ridA,55295,-0.006720182040270601,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00490,spoVG,55866,0.023800902019890432,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_00500,glmU,56352,-0.0065619577063455855,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_00510,prs,57745,0.001703015406254591,Nucleotide transport and metabolism,#87ceeb,
BSU_00520,ctc,58783,0.009186642271949184,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00530,pth,59504,-0.0168977023006872,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00540,fin,60130,-0.01225462481497524,Function unknown,#0000ff,
BSU_00550,mfd,60430,0.0030723558417824017,"Replication, recombination and repair",#1e90ff,
BSU_00560,spoVT,64099,0.01030391993619774,Transcription,#000000,
BSU_00570,yabM,64817,-0.010830606663987141,Function unknown,#0000ff,
BSU_00580,yabN,66405,-0.006067642540869951,Function unknown,#0000ff,
BSU_00590,hslR,67877,-0.0012787180811675907,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00600,spcP,68216,0.0016127039871013241,Function unknown,#0000ff,
BSU_00610,spcQ,68515,-0.010005351610553536,Function unknown,#0000ff,
BSU_00620,divIC,69168,-0.008169996903856992,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_00630,yabR,69626,0.00346161682475788,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00640,spoIIE,70538,0.0240198848931635,Transcription,#000000,
BSU_00650,yabS,73106,0.017639212846717812,Function unknown,#0000ff,
BSU_00660,prkT,73809,0.014378924409319838,Transcription,#000000,
BSU_00670,tilS,74929,-0.016624077071633388,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_00680,hprT,76344,-0.015807353157698368,Nucleotide transport and metabolism,#87ceeb,
BSU_00690,ftsH,76984,-0.0041217413861462425,"Post-translational modification, protein turnover, and chaperones",#add8e6,
BSU_00700,coaX,79092,-0.020769446703659298,Nucleotide transport and metabolism,#87ceeb,
BSU_00710,hslO,79880,-0.011672879708685286,"Post-translational modification, protein turnover, and chaperones",#add8e6,
BSU_00720,yacD,80802,-0.014213605446804903,"Post-translational modification, protein turnover, and chaperones",#add8e6,
BSU_00730,cysK,81771,0.006891951354513248,Amino acid transport and metabolism,#ff0000,
BSU_00740,pabB,82864,-0.0060123028484883965,Amino acid transport and metabolism,#ff0000,
BSU_00750,pabA,84290,-0.0007744937766895443,Amino acid transport and metabolism,#ff0000,
BSU_00760,pabC,84874,-0.009842136651082228,Amino acid transport and metabolism,#ff0000,
BSU_00770,folP,85737,-0.0018685041163321692,Coenzyme transport and metabolism,#d3d3d3,
BSU_00780,folB,86587,-0.004756051660897285,Coenzyme transport and metabolism,#d3d3d3,
BSU_00790,folK,86946,-0.010044333601453409,Coenzyme transport and metabolism,#d3d3d3,
BSU_00800,yazB,87401,-0.006187074033004645,Transcription,#000000,
BSU_00810,dusB,87634,-0.003280353787942376,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00820,lysS,88727,-0.0002088930978418364,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00830,ctsR,101449,-0.016396459854825955,Transcription,#000000,
BSU_00840,mcsA,101927,-0.013676140395262529,Function unknown,#0000ff,
BSU_00850,mcsB,102484,-0.008658332927224573,Amino acid transport and metabolism,#ff0000,
BSU_00860,clpC,103572,0.004968059064758076,"Post-translational modification, protein turnover, and chaperones",#add8e6,
BSU_00870,radA,106096,-0.013664019241410964,"Post-translational modification, protein turnover, and chaperones",#add8e6,
BSU_00880,disA,107476,-0.012888125583319709,"Replication, recombination and repair",#1e90ff,
BSU_00890,yacL,108674,0.002292379311840966,Function unknown,#0000ff,
BSU_00900,ispD,109789,-0.005013500240076688,Lipid transport and metabolism,#87cefa,
BSU_00910,ispF,110480,-0.02295954420226478,Lipid transport and metabolism,#87cefa,
BSU_00920,gltX,111047,-0.004481560984551479,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00930,cysE,112800,0.0006642683996264612,Amino acid transport and metabolism,#ff0000,
BSU_00940,cysS,113450,-0.005589490904201857,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00950,mrnC,114854,-0.0029043557280103915,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00960,rlmB,115269,-0.007653357190983832,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00970,raeA,116025,-0.0014481486437226453,Function unknown,#0000ff,
BSU_00980,sigH,116600,0.0040729905328710505,Transcription,#000000,
BSU_00990,rpmGB,117349,-0.003954926883455715,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01000,secE,117532,-0.004085597934427743,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
BSU_01010,nusG,117890,-0.010498988914971604,Transcription,#000000,
BSU_01020,rplK,118591,-0.00014929371236797117,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01030,rplA,119111,0.0035075780132839828,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01040,rplJ,120061,0.004710267312026891,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01050,rplL,120607,0.007978364486307989,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01060,rlmG,121068,0.0005972250859709329,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01070,rpoB,121919,0.0005118688586203307,Transcription,#000000,
BSU_01080,rpoC,125562,0.0005745181394345559,Transcription,#000000,
BSU_01090,rulS,129340,-0.010284366785803556,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01100,rpsL,129702,-0.00857141788929914,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01110,rpsG,130160,-0.008557287150069702,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01120,fusA,130684,-0.004695160699945081,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01130,tufA,132882,0.006836613164656171,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01140,ybaC,134171,-0.0037828342361898937,Function unknown,#0000ff,
BSU_01150,rpsJ,135364,-0.0013043996702605605,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01160,rplC,135712,-0.0005889502073308365,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01170,rplD,136369,-0.0018433274951457047,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01180,rplW,136992,0.0016029051836270961,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01190,rplB,137311,0.001122857976845767,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01200,rpsS,138202,0.0033008054775413424,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01210,rplV,138497,0.0012701599428698118,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01220,rpsC,138842,0.004310688769490685,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01230,rplP,139500,0.004513763711245821,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01240,rpmC,139924,0.004774946489922727,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01250,rpsQ,140147,0.0052813405904838205,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01260,rplNA,140451,-0.001510692855399297,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01270,rplX,140857,-0.0008161624672180524,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01280,rplE,141195,0.0024960164247832795,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01290,rpsNA,141757,0.002708413736014361,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01300,rpsH,141974,0.001839046917704743,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01310,rplF,142402,-0.002171754695496488,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01320,rplR,142974,-0.0038510470474026936,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01330,rpsE,143361,-0.0008638525558498307,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01340,rpmD,143875,0.0011318839000947908,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01350,rplO,144085,0.0038336620236222026,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01360,secY,144527,0.0002976660013622864,"Intracellular trafficking, secretion, and vesicular transport",#40e0d0,
BSU_01370,adk,145877,-0.007354896837496092,Nucleotide transport and metabolism,#87ceeb,
BSU_01380,mapA,146527,-0.006707543678588325,Amino acid transport and metabolism,#ff0000,
BSU_01389,ybzG,147312,-0.0036550305295299673,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01390,infA,147585,-0.007762147174819289,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01400,rpmJ,147837,-0.0063721751143259965,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01410,rpsM,147973,-0.003194901478523486,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01420,rpsK,148359,-0.002670260419333125,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01430,rpoA,148931,-0.002301140256205586,Transcription,#000000,
BSU_01440,rplQ,149953,-0.005907956426181114,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01450,ecfA,150443,0.003986591658999842,Inorganic ion transport and metabolism,#8b4513,
BSU_01460,ecfAB,151303,0.003253324025009757,Inorganic ion transport and metabolism,#8b4513,
BSU_01470,ecfT,152130,0.0005934674369303034,Inorganic ion transport and metabolism,#8b4513,
BSU_01480,truA,152937,-0.013350191285303108,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01490,rplM,153842,-0.002693527228493948,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01500,rpsI,154300,-0.0025669880538395713,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01510,ybaJ,155156,0.010428456252815691,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
BSU_01520,ybaK,156109,-0.0037734510353398774,Function unknown,#0000ff,
BSU_01530,cwlD,156612,-0.012343793449593512,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_01540,salA,157421,0.0007606708286232017,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_01550,gerD,158515,-0.01117192055785089,No COG annotation,#00bfbf,
BSU_01560,kbaA,159182,-0.011467924054002956,Function unknown,#0000ff,
BSU_01570,pdaB,159779,-0.003148919652573423,Carbohydrate transport and metabolism,#ffc0cb,
BSU_01580,ybaR,177083,-0.010875260746906205,Inorganic ion transport and metabolism,#8b4513,
BSU_01590,ybaS,178665,0.009148469638506473,Function unknown,#0000ff,
BSU_01600,eesA,179595,0.0013067068991332574,Function unknown,#0000ff,
BSU_01610,feuC,180344,-0.0016865328553810944,Inorganic ion transport and metabolism,#8b4513,
BSU_01620,feuB,181347,0.006390852980675045,Inorganic ion transport and metabolism,#8b4513,
BSU_01630,feuA,182370,0.0041666456789673095,Inorganic ion transport and metabolism,#8b4513,
BSU_01640,btr,183414,-0.00024393819508727047,Transcription,#000000,
BSU_01650,ybbC,185194,0.007894210107533729,Function unknown,#0000ff,
BSU_01660,nagZ,186452,-0.00531475385118504,Carbohydrate transport and metabolism,#ffc0cb,
BSU_01670,amiE,188408,-0.0012010978276504663,Defense mechanisms,#90ee90,
BSU_01680,murP,189790,-0.014536639634672612,Carbohydrate transport and metabolism,#ffc0cb,
BSU_01690,murR,191183,-0.026433817916883044,Transcription,#000000,
BSU_01700,murQ,192051,-0.018014467074136068,Carbohydrate transport and metabolism,#ffc0cb,
BSU_01710,ybbJ,193075,-0.0050876601123792786,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_01720,ybbK,193570,-0.01170144567802513,Function unknown,#0000ff,
BSU_01730,sigW,194849,0.01464655412107224,Transcription,#000000,
BSU_01740,rsiW,195426,0.008863480729907837,Transcription,#000000,
BSU_01750,cdaA,196213,-0.01789343100214973,Function unknown,#0000ff,
BSU_01760,cdaR,197027,-0.006666944653487997,Function unknown,#0000ff,
BSU_01770,glmM,198497,-0.002817103088877573,Carbohydrate transport and metabolism,#ffc0cb,
BSU_01780,glmS,200277,0.012145857776156085,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_01790,ybbU,202126,-0.010704468343281738,No COG annotation,#00bfbf,
BSU_01800,alkA,202547,-0.021824159476451426,"Replication, recombination and repair",#1e90ff,
BSU_01810,adaA,203729,-0.0069331438716783295,Transcription,#000000,
BSU_01820,adaB,204351,-0.006259369386720956,"Replication, recombination and repair",#1e90ff,
BSU_01830,ndhF,205409,-0.003624647812650393,Energy production and conversion,#708090,
BSU_01845,ybcC,206941,0.002147432057629568,Function unknown,#0000ff,
BSU_01860,ybcF,209633,-0.003671096695033685,Inorganic ion transport and metabolism,#8b4513,
BSU_01870,ybcH,210224,-0.01913990186109695,No COG annotation,#00bfbf,
BSU_01880,ybcI,210572,-0.012370544359006442,Function unknown,#0000ff,
BSU_01889,ybzH,211429,-0.015326049627163557,Transcription,#000000,
BSU_01890,ybcL,211859,-0.0119028409793968,Amino acid transport and metabolism,#ff0000,
BSU_01900,ybcM,213155,0.0065687314445148845,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_01910,skfA,213941,0.11255584918699932,No COG annotation,#00bfbf,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01910
BSU_01920,skfB,214175,0.10030307097039426,"Translation, ribosomal structure and biogenesis",#daa520,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01920
BSU_01935,skfC,215404,0.058836725230771526,Defense mechanisms,#90ee90,
BSU_01950,skfE,216913,0.042123827796329484,Defense mechanisms,#90ee90,
BSU_01960,skfF,217697,0.047652619105893364,Function unknown,#0000ff,
BSU_01970,skfG,219087,0.02920826133459309,Energy production and conversion,#708090,
BSU_01980,skfH,219607,0.036682025284688016,Energy production and conversion,#708090,
BSU_01990,ybdG,220279,0.017399981447349666,Function unknown,#0000ff,
BSU_02000,ybdJ,221258,0.011263529329816812,Signal transduction mechanisms,#f4a460,
BSU_02010,ybdK,221950,0.021869848552475972,Signal transduction mechanisms,#f4a460,
BSU_02019,ybzI,222971,-0.003359454074637439,No COG annotation,#00bfbf,
BSU_02030,ybdM,223219,0.009681099258286523,Transcription,#000000,
BSU_02040,ybdN,224075,0.07961314055715163,No COG annotation,#00bfbf,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_02040
BSU_02050,ybdO,225064,0.038926585544046766,Function unknown,#0000ff,
BSU_02060,ybxG,226566,-0.006343735710416073,Amino acid transport and metabolism,#ff0000,
BSU_02070,csgA,228066,-0.0009999213995264267,Function unknown,#0000ff,
BSU_02080,ybxH,228331,-0.002616814533111279,Function unknown,#0000ff,
BSU_02090,ybxI,228549,-0.009745756380445487,Defense mechanisms,#90ee90,
