locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhoB,ArcA,link
b2181,0.2195131028,yejG,protein YejG,Function unknown,yejG,"Nac,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12042
b1422,0.21122712600000002,ydcI,putative DNA-binding transcriptional repressor YdcI,Transcription,ydcI,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6737
b3820,0.2021643867,yigI,putative thioesterase YigI,"Secondary metabolites biosynthesis, transport, and catabolism",yigI,"Nac,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11467
b2980,0.1894424468,glcC,DNA-binding transcriptional dual regulator GlcC,Transcription,glcC,"RpoD,Crp,Fis,Cra,GlcC,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7546
b0346,0.1595613733,mhpR,DNA-binding transcriptional activator MhpR,Transcription,mhpR-lacI,"RpoD,YbaQ,Crp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6201
b1020,0.1582376302,phoH,ATP-binding protein PhoH,Signal transduction mechanisms,phoH,"RpoD,ppGpp,PhoB,Lrp,Nac,GlaR,ArcA",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11734
b4735,0.1225987109,ybgU,protein YbgU,No COG annotation,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16730
b0721,0.1167245831,sdhC,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,YdcI,YdiP,Fur,Crp,Fnr,ArcA,Nac,rybB,ryhB,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10933
b2310,0.1116117021,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,argT-hisJQMP,"YcjW,RpoN,gcvB,NtrC,ppGpp,Lrp,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10072
b3453,0.1096787811,ugpB,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ugpBAECQ,"RpoD,Crp,ppGpp,PhoB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11047
b2587,0.1071263274,kgtP,alpha-ketoglutarate:H(+) symporter,Amino acid transport and metabolism,kgtP,ArcA,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10522
b1298,0.105823334,puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase,Function unknown,puuDRCBE,"RpoS,ArcA,Crp,ppGpp,PuuR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6645
b3962,0.1026846111,sthA,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,sthA,"Lrp,ArcA,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11428
b3995,0.1016546838,rsd,regulator of sigma D,Transcription,rsd,"RpoD,RpoS,ArcA,ppGpp,McbR,RcdA,SlyA,SdiA,Lrp,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11738
b2537,0.1003810088,hcaR,DNA-binding transcriptional dual regulator HcaR,Transcription,hcaR,"HcaR,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7331
b1163,0.0977684897,bluF,blue light-responsive regulator of BluR,Signal transduction mechanisms,bluF,"RpoD,YfeC,RcdA",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6603
b1778,0.0923619085,msrB,methionine sulfoxide reductase B,"Post-translational modification, protein turnover,and chaperones",msrB,"RpoD,YfeC,ryhB,Fnr,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12394
b2582,0.0920039944,trxC,reduced thioredoxin 2,"Post-translational modification, protein turnover,and chaperones",trxC,"RpoD,OxyR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11887
b1384,0.0863744697,feaR,DNA-binding transcriptional activator FeaR,Transcription,feaR,"QseB,RpoD,Crp,NsrR,Nac,PhoB",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b4340,0.0816269309,yjiR,fused putative DNA-binding transcriptional regulator/putative aminotransferase YjiR,Transcription,yjiR,"ppGpp,ArcA",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7936
b4332,0.0781805305,yjiJ,putative transporter YjiJ,Amino acid transport and metabolism,yjiJ,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7929
b1607,0.0771320166,ydgC,GlpM family protein,Function unknown,ydgC,ArcA,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6863
b1777,0.0760293809,yeaC,conserved protein YeaC,Function unknown,yeaC,ryhB,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6964
b0124,0.0758422291,gcd,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,gcd,"RpoD,Crp,IHF",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10369
b0836,0.0754637268,bssR,regulator of biofilm formation,Function unknown,bssR,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b3351,0.0733738926,kefG,protein required for KefB activity,Function unknown,kefGB-yheV,ppGpp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7717
b3603,0.07219128030000001,lldP,lactate/glycolate:H(+) symporter LldP,Energy production and conversion,lldPRD,"RpoD,YdcI,ArcA,LldR,spf",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11961
