,name,x,y,cog,color,link
meta,start,0.045809947225701135,,,,
b0002,thrA,337,0.0003646422,Amino acid transport and metabolism,#ff0000,
b0003,thrB,2801,0.0044064103,Nucleotide transport and metabolism,#00bfbf,
b0004,thrC,3734,0.006504864000000001,Amino acid transport and metabolism,#ff0000,
b0005,yaaX,5234,0.002081204,Function unknown,#708090,
b0006,yaaA,5683,0.0161569075,Function unknown,#708090,
b0007,yaaJ,6529,0.004336452,Amino acid transport and metabolism,#ff0000,
b0008,talB,8238,-0.0050208535,Carbohydrate transport and metabolism,#ffc0cb,
b0009,mog,9306,-0.0006340250000000001,Nucleotide transport and metabolism,#00bfbf,
b0010,satP,9928,-0.0065907845,Function unknown,#708090,
b0011,yaaW,10643,-0.0086106351,Function unknown,#708090,
b0012,mbiA,10830,-0.0020769749,No COG annotation,#87cefa,
b0013,yaaI,11382,0.0089116525,Function unknown,#708090,
b0014,dnaK,12163,0.006581298,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0015,dnaJ,14168,-0.0026726578,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0016,insL-1,15445,-0.0100498114,"Replication, recombination and repair",#ff00ff,
b0018,mokC,16751,0.0028465857000000002,Function unknown,#708090,
b0019,nhaA,17489,0.017563367700000002,Inorganic ion transport and metabolism,#0000ff,
b0020,nhaR,18715,0.0033612392000000003,Transcription,#f4a460,
b0021,insB-1,19811,-0.0014156037000000001,"Replication, recombination and repair",#ff00ff,
b0022,insA-1,20233,0.0101739403,"Replication, recombination and repair",#ff00ff,
b0023,rpsT,20815,-0.0003444727,"Translation, ribosomal structure and biogenesis",#000000,
b0024,yaaY,21181,-0.0046404186000000005,Function unknown,#708090,
b0025,ribF,21407,-0.0096819348,Coenzyme transport and metabolism,#008000,
b0026,ileS,22391,-0.0023217713,"Translation, ribosomal structure and biogenesis",#000000,
b0027,lspA,25207,-0.005109896,Cell wall/membrane/envelope biogenesis,#c71585,
b0028,fkpB,25826,-0.0060438063,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0029,ispH,26277,-0.0013627827000000001,Lipid transport and metabolism,#40e0d0,
b0030,rihC,27293,0.0003075446,Nucleotide transport and metabolism,#00bfbf,
b0031,dapB,28374,-0.0043737946000000005,Amino acid transport and metabolism,#ff0000,
b0032,carA,29651,-0.015349222000000001,Nucleotide transport and metabolism,#00bfbf,
b0033,carB,30817,-0.0056404143,Nucleotide transport and metabolism,#00bfbf,
b0034,caiF,34300,-0.0073066909,Transcription,#f4a460,
b0035,caiE,34781,-0.0067892157,Function unknown,#708090,
b0036,caiD,35377,-0.0032628856000000003,Lipid transport and metabolism,#40e0d0,
b0037,caiC,36271,-0.008440696900000001,Lipid transport and metabolism,#40e0d0,
b0038,caiB,37898,0.0028009751000000003,Energy production and conversion,#90ee90,
b0039,caiA,39244,0.0009408707,Lipid transport and metabolism,#40e0d0,
b0040,caiT,40417,-0.0040730074,Cell wall/membrane/envelope biogenesis,#c71585,
b0041,fixA,42403,0.007417466300000001,Energy production and conversion,#90ee90,
b0042,fixB,43188,-0.00597772,Energy production and conversion,#90ee90,
b0043,fixC,44180,-0.0027284987,Energy production and conversion,#90ee90,
b0045,yaaU,45807,0.0031939409,Inorganic ion transport and metabolism,#0000ff,
b0046,kefF,47246,-0.015442315600000001,Energy production and conversion,#90ee90,
b0047,kefC,47769,-0.0044235363,Inorganic ion transport and metabolism,#0000ff,
b0048,folA,49823,0.0013044524000000001,Coenzyme transport and metabolism,#008000,
b0049,apaH,50380,0.0050310732000000006,Signal transduction mechanisms,#00ff00,
b0050,apaG,51229,-0.0007502214,Inorganic ion transport and metabolism,#0000ff,
b0051,rsmA,51609,-0.0030998006,"Translation, ribosomal structure and biogenesis",#000000,
b0052,pdxA,52427,-0.0015206254,Coenzyme transport and metabolism,#008000,
b0053,surA,53416,0.0024823134,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0054,lptD,54755,-7.3118e-06,Cell wall/membrane/envelope biogenesis,#c71585,
b0055,djlA,57364,-0.0054753081,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0056,yabP,58474,-0.0036692055,Function unknown,#708090,
b0057,yabQ,59121,-0.0206569915,No COG annotation,#87cefa,
b0058,rluA,59687,0.008605751,"Translation, ribosomal structure and biogenesis",#000000,
b0059,rapA,60358,0.0054450473,Transcription,#f4a460,
b0060,polB,63429,-0.0016674203,"Replication, recombination and repair",#ff00ff,
b0061,araD,65855,-0.0042641527,Carbohydrate transport and metabolism,#ffc0cb,
b0062,araA,66835,-0.018385239,Carbohydrate transport and metabolism,#ffc0cb,
b0063,araB,68348,-0.0114633932,Nucleotide transport and metabolism,#00bfbf,
b0064,araC,70387,-0.004999865300000001,Transcription,#f4a460,
b0065,yabI,71351,-0.006140204000000001,Function unknown,#708090,
b0066,thiQ,72229,-0.006086737300000001,Inorganic ion transport and metabolism,#0000ff,
b0067,thiP,72911,-0.0076773917,Inorganic ion transport and metabolism,#0000ff,
b0068,thiB,74497,-0.0132798064,Inorganic ion transport and metabolism,#0000ff,
b0069,sgrR,75644,-0.0055288919,Transcription,#f4a460,
b4662,sgrT,77388,-0.0029832422,Energy production and conversion,#90ee90,
b0070,setA,77621,0.0012118469,Inorganic ion transport and metabolism,#0000ff,
b0071,leuD,78848,-0.0049992363,Amino acid transport and metabolism,#ff0000,
b0072,leuC,79464,0.0003237348,Amino acid transport and metabolism,#ff0000,
b0073,leuB,80867,0.0065953719,Energy production and conversion,#90ee90,
b0074,leuA,81958,0.0049624438,Amino acid transport and metabolism,#ff0000,
b0076,leuO,84368,-0.0031412596,Transcription,#f4a460,
b0077,ilvI,85630,-0.0064553807,Coenzyme transport and metabolism,#008000,
b0078,ilvH,87357,-0.0096981618,Amino acid transport and metabolism,#ff0000,
b0080,cra,88028,-0.0064801345,Transcription,#f4a460,
b0081,mraZ,89634,-0.0053003661,Transcription,#f4a460,
b0082,rsmH,90094,-0.0010282655,"Translation, ribosomal structure and biogenesis",#000000,
b0083,ftsL,91032,-0.0070242317,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0084,ftsI,91413,-0.0049068345,Cell wall/membrane/envelope biogenesis,#c71585,
b0085,murE,93166,-0.0009195975,Cell wall/membrane/envelope biogenesis,#c71585,
b0086,murF,94650,-0.0037994245,Cell wall/membrane/envelope biogenesis,#c71585,
b0087,mraY,96002,-0.0037669464000000003,Cell wall/membrane/envelope biogenesis,#c71585,
b0088,murD,97087,-0.004557086100000001,Cell wall/membrane/envelope biogenesis,#c71585,
b0089,ftsW,98403,0.0002041023,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0090,murG,99644,-8.25227e-05,Cell wall/membrane/envelope biogenesis,#c71585,
b0091,murC,100765,-0.0039391215,Cell wall/membrane/envelope biogenesis,#c71585,
b0092,ddlB,102233,-0.0031409591,Nucleotide transport and metabolism,#00bfbf,
