k,name,in_iM,gene_weight,regulator,function,category
23,HexR-2,False,0.022298284300000002,HexR,Glucose metabolism,Carbon Source Utilization
60,ErbR-2,False,-0.0183628742,ErbR,PQQ biosynthesis,Miscellaneous Metabolism
67,CysB-1,False,-0.0182181555,YdfF/CysB,Sulfonate utilization operons,Metal Homeostasis
16,Translational-1,False,-0.016141091,,,Translational
18,MexZ,False,-0.0158506379,MexZ,Aminoglycoside resistance,Defense Mechanisms
85,MvfR,False,-0.015129248000000001,MvfR,PQS signalling,Miscellaneous Metabolism
51,FleN,False,-0.014926812000000001,FleN,Bacterial chemotaxis,Structural Components
39,RiPP,False,0.0144381278,,RiPP like gene cluster (Hypochlorite sensing),Biosynthetic Gene Cluster
93,PprB,False,0.012968259000000001,PprB,Flp pilus assembly protein,Structural Components
97,AmiR,False,0.012456104800000001,GlcC/AmiR,Amidase operon,Miscellaneous Metabolism
61,Uncharacterized-9,False,0.012382894200000001,,,Uncharacterized
13,Uncharacterized-2,False,0.0122886208,,,Uncharacterized
50,Zur-2,False,0.0117409125,NrdR/Cobalamin/Zur,Zinc uptake,Metal Homeostasis
5,HexR-1,False,-0.0116692589,HexR/GltR,Glucose metabolism,Carbon Source Utilization
6,ArgR-1,False,0.0109119594,ArgR/Sigma factor X,Arginine catabolism and biosynthesis,Amino Acid and Nucleotide Biosynthesis
63,Uncharacterized-11,False,-0.0106509138,,,Uncharacterized
3,EatR,False,-0.0103137817,EatR,Ethanolamine utilization,Amino Acid and Nucleotide Biosynthesis
66,Uncharacterized-12,False,-0.0101709005,,,Uncharacterized
1,DhcR,False,-0.0101289056,DhcR,Carnitine catabolism,Amino Acid and Nucleotide Biosynthesis
4,AtuR,False,-0.009938406,AtuR/LaoR,Geraniol degradation,Carbon Source Utilization
9,PmrA,False,-0.0096777474,PmrA,Polymyxins resistance,Defense Mechanisms
103,Uncharacterized-17,False,-0.0091956982,,,Uncharacterized
92,RpoS-2,False,0.008971247600000001,RpoS/MmsR,General stress response,Stress Response
27,FpvR,False,0.0086172321,FpvR,Ferripyoveridine system,Metal Homeostasis
54,Sfa2,False,-0.0085332651,Sfa2,H2-T6SS/Secretion system (VI),Secretion System
24,AmiE,False,-0.008223288700000001,AmiE,Pyroglutamate transport (Porins),Amino Acid and Nucleotide Biosynthesis
56,Singlet-3,False,0.0080487402,,,Singlet
2,Uncharacterized-1,False,-0.0074467459,,,Uncharacterized
64,SoxR,False,-0.0073911569,SoxR,RND efflux pump,Defense Mechanisms
55,RpoH,False,0.0067763379,,Heat Shock Response,Stress Response
84,PhhR,False,-0.00661486,PhhR/HmgR,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid and Nucleotide Biosynthesis
45,CbrB,False,-0.0065841924,CbrB,Polyamine catabolism,Amino Acid and Nucleotide Biosynthesis
31,NagQ,False,-0.0064871935,NagQ/GbuR,N-acetylglucosamine catabolism,Carbon Source Utilization
99,Uncharacterized-15,False,0.006306112,,,Uncharacterized
35,XisF4,False,-0.0060958667,XisF4,Excision of Pf4 prophage,Prophages
36,GlpR,False,-0.0060058096,GlpR,Glycerol-3-phosphate metabolism,Carbon Source Utilization
