k,name,in_iM,gene_weight,regulator,function,category
76,Uncharacterized-10,False,0.014395825000000001,,,Uncharacterized
32,ArgR-1,False,-0.013588918,ArgR/Sigma factor X,Arginine catabolism and biosynthesis,Amino Acid and Nucleotide Biosynthesis
27,Translational-1,False,-0.013441081,,,Translational
103,Uncharacterized-12,False,0.012971118,,,Uncharacterized
102,Cell Division,False,0.012801304000000001,,Cell wall biosynthesis,Structural Components
74,HypR,False,0.012021499000000001,HypR,Redox-sensing,Amino Acid and Nucleotide Biosynthesis
38,AmpC,False,-0.01199311,AmpC,beta-lactamases,Antibiotic Resistance
109,AHL,False,0.011801753,AHL,AHL synthesis,Quorum Sensing
36,PtxS,False,-0.011222826,GntR/PtxS,2-ketogluconate metabolism,Carbon Source Utilization
53,AmrZ,False,0.011169378,RsmA/AmrZ,Exopolysaccharide biosynthesis,Structural Components
4,CbrB,False,0.011011941,CbrB,Polyamine catabolism,Amino Acid and Nucleotide Biosynthesis
43,RiPP,False,0.010487102,,RiPP like gene cluster (Hypochlorite sensing),Biosynthetic Gene Cluster
60,RsmA,False,0.010374424,RsmA,2-ketogluconate metabolism,Carbon Source Utilization
96,Zur-1,False,-0.010120759,Zur/Cobalamin,Zinc uptake,Metal Homeostasis
112,Anr-4,False,0.009840404,Anr+Dnr,Nitrite reductases,Amino Acid and Nucleotide Biosynthesis
5,CueR,False,-0.009352546,CueR,Copper adaptation/transport,Metal Homeostasis
64,CysB-2,False,-0.009315924,CysB/YdfF,ABC transporter (Sulphur metabolism),Metal Homeostasis
23,EsrC,False,0.009053899,EsrC,RND efflux pump,Antibiotic Resistance
82,AntR,False,-0.008898216,AntR,Degradation of anthranilate to tricarboxylic acid cycle intermediates,Miscellaneous Metabolism
18,Uncharacterized-6,False,-0.008456902,,,Uncharacterized
39,AtuR,False,-0.008438936000000001,AtuR/LaoR,Geraniol degradation,Carbon Source Utilization
57,HutC,False,-0.008189493,HutC,Histidine utilization,Amino Acid and Nucleotide Biosynthesis
46,Singlet-5,False,0.008108317,,,Singlet
15,Singlet-3,False,-0.007817623000000001,,,Singlet
75,Singlet-9,False,0.007805736000000001,,,Singlet
49,RpoN,False,-0.007606638000000001,RpoN,Starch and sucrose metabolism,Carbon Source Utilization
2,PrrF,False,0.007423474,PrrF,2-Oxocarboxylic acid metabolism,Amino Acid and Nucleotide Biosynthesis
44,FleN-2,False,0.007243907000000001,FleN,Bacterial chemotaxis,Structural Components
99,Anr-3,False,0.007012423,Dnr/NarL,Nitrate reductases,Amino Acid and Nucleotide Biosynthesis
100,Uncharacterized-4,False,0.006954101000000001,,,Uncharacterized
91,Singlet-10,False,0.006852366,,,Singlet
66,MvfR,False,-0.006597801,MvfR,PQS signalling,Miscellaneous Metabolism
115,Uncharacterized-14,False,-0.006545567,,,Uncharacterized
52,Singlet-6,False,0.006501446,,,Singlet
87,CpxR,False,-0.006467331000000001,CpxR/ParB,Various stress response,Antibiotic Resistance
110,LaoR,False,0.006455684000000001,MvaT/LaoR,Oxidation of Long-Chain Alcohols,Carbon Source Utilization
25,Uncharacterized-5,False,-0.006412074,,,Uncharacterized
73,CysB-1,False,0.00640736,YdfF/CysB,Sulfonate utilization operons,Metal Homeostasis
78,XisF4-1,False,0.006099206,CueR/XisF4,Excision of Pf4 prophage,Prophages
48,SouR,False,-0.006010397000000001,SouR/DguR,Sarcosine Catabolism,Amino Acid and Nucleotide Biosynthesis
24,Sfa2,False,-0.005753076,Sfa2,H2-T6SS/Secretion system (VI),Secretion System
14,Singlet-2,False,-0.005494324,,,Singlet
28,Uncharacterized-8,False,-0.005317653,,,Translational
59,NRPS,False,-0.005292745000000001,,Nonribosomal peptide synthetase,Biosynthetic Gene Cluster
26,MexS-1,False,0.005153325,MexS/MexZ,RND efflux pump,Antibiotic Resistance
56,Uncharacterized-1,False,0.00479932,,,Uncharacterized
30,XisF4-2,False,0.004750739,XisF4,Excision of Pf4 prophage,Prophages
95,Singlet-11,False,0.0047212930000000005,,,Singlet
94,Lrp,False,-0.004647296,lrp,Alanine catabolism,Amino Acid and Nucleotide Biosynthesis
114,CysB-3,False,0.004472556,YdfF,ABC transporter (Sulphur metabolism),Metal Homeostasis
8,PhhR-1,False,0.004469087,PhhR/HmgR,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid and Nucleotide Biosynthesis
79,Uncharacterized-7,False,-0.004368345,,,Uncharacterized
10,EutR,False,-0.004225133,EutR,Ethanolamine catabolism,Amino Acid and Nucleotide Biosynthesis
84,Iron acquisition,False,0.0041552080000000005,,Iron acquisition,Metal Homeostasis
21,BexR,False,-0.004126746000000001,BexR,Virulence factor AprA,Miscellaneous Metabolism
81,Uncharacterized-2,False,-0.004086587,,,Uncharacterized
104,AcoR,False,0.004082565000000001,AcoR,"2,3-butanediol and acetoin catabolism",Carbon Source Utilization
72,HexR-2,False,-0.0039700510000000005,HexR,Glucose metabolism,Carbon Source Utilization
0,LexA,False,0.0037047860000000003,LexA,SOS response for DNA protection and repair,Stress Response
85,RpoH,False,0.003637323,RpoH,Heat Shock Response,Heat Shock Response
111,Fur,False,0.0035457730000000003,Fur,Uncharaterized,Metal Homeostasis
12,Singlet-1,False,0.0034540390000000003,,,Singlet
51,PvdS,False,-0.0034274160000000004,PvdS,Pyoverdine synthesis,Biosynthetic Gene Cluster
1,EatR,False,-0.00323317,EatR,Ethanolamine utilization,Amino Acid and Nucleotide Biosynthesis
6,Translational-2,False,0.0031838390000000004,,,Translational
58,FruR,False,-0.003108795,LldR/FruR,Fructose and mannose metabolism/Pentose phosphate pathway,Carbon Source Utilization
105,Translational-3,False,0.003056281,,,Translational
40,Zur-2,False,-0.003043903,Zur/yybP-ykoY,Zinc uptake,Metal Homeostasis
33,Singlet-4,False,-0.0030086910000000004,,,Singlet
67,MexZ,False,-0.0030049340000000003,MexZ,Aminoglycoside resistance,Antibiotic Resistance
106,NarL,False,0.00299877,Dnr/NarL,Denitrification (Nitrate),Amino Acid and Nucleotide Biosynthesis
77,LasR,False,0.0029708290000000004,LasR/MvfR,Pyochelin biosynthesis and Secretion (I) system,Metal Homeostasis
47,AmiE,False,0.002967019,AmiE,AHL synthesis,Amino Acid and Nucleotide Biosynthesis
55,Singlet-8,False,-0.002964528,,,Singlet
88,HexR-1,False,0.0029538140000000004,HexR/GltR,Glucose metabolism,Carbon Source Utilization
65,MexS-2,False,0.0029354760000000002,GlcC/MexS,RND efflux pump,Antibiotic Resistance
