,name,x,y,cog,color,link
meta,start,0.0621991795585283,,,,
b0002,thrA,337,0.0092640965068501,Amino acid transport and metabolism,#ff0000,
b0003,thrB,2801,0.0263945432256375,Nucleotide transport and metabolism,#00bfbf,
b0004,thrC,3734,0.0204444856948908,Amino acid transport and metabolism,#ff0000,
b0005,yaaX,5234,0.005148925425499,Function unknown,#708090,
b0006,yaaA,5683,0.0108102594290144,Function unknown,#708090,
b0007,yaaJ,6529,-0.0067572117311866,Amino acid transport and metabolism,#ff0000,
b0008,talB,8238,-0.0165906619145824,Carbohydrate transport and metabolism,#ffc0cb,
b0009,mog,9306,-0.0164688069461158,Nucleotide transport and metabolism,#00bfbf,
b0010,satP,9928,0.0078422224116816,Function unknown,#708090,
b0011,yaaW,10643,0.001469951421317,Function unknown,#708090,
b0012,mbiA,10830,-0.0028370380607346,No COG annotation,#87cefa,
b0013,yaaI,11382,-0.0196481908079253,Function unknown,#708090,
b0014,dnaK,12163,-0.003576688727054,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0015,dnaJ,14168,0.0013830353684415,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0016,insL-1,15445,-0.007087998038344,"Replication, recombination and repair",#ff00ff,
b0018,mokC,16751,-0.0350537228643501,Function unknown,#708090,
b0019,nhaA,17489,-0.0026786518823793,Inorganic ion transport and metabolism,#0000ff,
b0020,nhaR,18715,-0.0162694548332134,Transcription,#f4a460,
b0021,insB-1,19811,-0.0090068272504671,"Replication, recombination and repair",#ff00ff,
b0022,insA-1,20233,0.0015293158046514,"Replication, recombination and repair",#ff00ff,
b0023,rpsT,20815,0.0047494289697565,"Translation, ribosomal structure and biogenesis",#000000,
b0024,yaaY,21181,0.0259951681597159,Function unknown,#708090,
b0025,ribF,21407,-0.0021771514781196,Coenzyme transport and metabolism,#008000,
b0026,ileS,22391,-0.0006473682275269,"Translation, ribosomal structure and biogenesis",#000000,
b0027,lspA,25207,0.0051575968424965,Cell wall/membrane/envelope biogenesis,#c71585,
b0028,fkpB,25826,-0.008863036909795,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0029,ispH,26277,-0.0046999930687463,Lipid transport and metabolism,#40e0d0,
b0030,rihC,27293,-0.0057403200733825,Nucleotide transport and metabolism,#00bfbf,
b0031,dapB,28374,0.0008101968628325,Amino acid transport and metabolism,#ff0000,
b0032,carA,29651,0.0153985594762759,Nucleotide transport and metabolism,#00bfbf,
b0033,carB,30817,0.0203138230266141,Nucleotide transport and metabolism,#00bfbf,
b0034,caiF,34300,0.0028242866658387,Transcription,#f4a460,
b0035,caiE,34781,0.0048840004572261,Function unknown,#708090,
b0036,caiD,35377,0.0168596221371409,Lipid transport and metabolism,#40e0d0,
b0037,caiC,36271,0.0088892088971354,Lipid transport and metabolism,#40e0d0,
b0038,caiB,37898,-0.0033579556524817,Energy production and conversion,#90ee90,
b0039,caiA,39244,-0.0047460961239019,Lipid transport and metabolism,#40e0d0,
b0040,caiT,40417,0.013259952425751,Cell wall/membrane/envelope biogenesis,#c71585,
b0041,fixA,42403,0.0245291066446022,Energy production and conversion,#90ee90,
b0042,fixB,43188,0.0093204845620032,Energy production and conversion,#90ee90,
b0043,fixC,44180,0.0084083413897799,Energy production and conversion,#90ee90,
b0044,fixX,45463,-0.0149224609242418,Energy production and conversion,#90ee90,
b0045,yaaU,45807,-0.0035867190743675,Inorganic ion transport and metabolism,#0000ff,
b0046,kefF,47246,-0.0016100029199157,Energy production and conversion,#90ee90,
b0047,kefC,47769,0.0066861951908807,Inorganic ion transport and metabolism,#0000ff,
b0048,folA,49823,-0.0015597948390694,Coenzyme transport and metabolism,#008000,
b0049,apaH,50380,0.0049245460126362,Signal transduction mechanisms,#00ff00,
b0050,apaG,51229,-0.004205385521112,Inorganic ion transport and metabolism,#0000ff,
b0051,rsmA,51609,-0.0030419081740878,"Translation, ribosomal structure and biogenesis",#000000,
b0052,pdxA,52427,-0.0019294059947973,Coenzyme transport and metabolism,#008000,
b0053,surA,53416,0.0030626865490806,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0054,lptD,54755,-0.0050162036260286,Cell wall/membrane/envelope biogenesis,#c71585,
b0055,djlA,57364,0.003135650846759,"Post-translational modification, protein turnover,and chaperones",#87ceeb,
b0056,yabP,58474,0.0098161432066603,Function unknown,#708090,
b0057,yabQ,59121,-0.0026985680925528,No COG annotation,#87cefa,
b0058,rluA,59687,0.0074068725886101,"Translation, ribosomal structure and biogenesis",#000000,
b0059,rapA,60358,0.0011508580192586,Transcription,#f4a460,
b0060,polB,63429,-0.0066413306202298,"Replication, recombination and repair",#ff00ff,
b0061,araD,65855,-0.0001230280732536,Carbohydrate transport and metabolism,#ffc0cb,
b0062,araA,66835,-0.0111613522970155,Carbohydrate transport and metabolism,#ffc0cb,
b0063,araB,68348,-0.0093345968731388,Nucleotide transport and metabolism,#00bfbf,
b0064,araC,70387,-0.0068516775957872,Transcription,#f4a460,
b0065,yabI,71351,-0.0037608506919706,Function unknown,#708090,
b0066,thiQ,72229,0.003156295172156,Inorganic ion transport and metabolism,#0000ff,
b0067,thiP,72911,0.00013061839614,Inorganic ion transport and metabolism,#0000ff,
b0068,thiB,74497,0.0036738106280793,Inorganic ion transport and metabolism,#0000ff,
b0069,sgrR,75644,-0.0102499008455168,Transcription,#f4a460,
b0070,setA,77621,-0.0017490280911962,Inorganic ion transport and metabolism,#0000ff,
b0071,leuD,78848,-0.0085096998228972,Amino acid transport and metabolism,#ff0000,
b0072,leuC,79464,0.0017149901060176,Amino acid transport and metabolism,#ff0000,
b0073,leuB,80867,0.0093065359233556,Energy production and conversion,#90ee90,
b0074,leuA,81958,0.0091978567680456,Amino acid transport and metabolism,#ff0000,
b0076,leuO,84368,-0.0112161003490877,Transcription,#f4a460,
b0077,ilvI,85630,-0.0002445572340149,Coenzyme transport and metabolism,#008000,
b0078,ilvH,87357,-0.0032787327190357,Amino acid transport and metabolism,#ff0000,
b0080,cra,88028,0.0067770070146755,Transcription,#f4a460,
b0081,mraZ,89634,0.0046786977634183,Transcription,#f4a460,
b0082,rsmH,90094,0.0055378248211814,"Translation, ribosomal structure and biogenesis",#000000,
b0083,ftsL,91032,0.0078422076515735,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0084,ftsI,91413,0.007148054089399,Cell wall/membrane/envelope biogenesis,#c71585,
b0085,murE,93166,0.0166081567935334,Cell wall/membrane/envelope biogenesis,#c71585,
b0086,murF,94650,0.0166606733399792,Cell wall/membrane/envelope biogenesis,#c71585,
b0087,mraY,96002,0.0085938236724401,Cell wall/membrane/envelope biogenesis,#c71585,
b0088,murD,97087,0.0063800428674607,Cell wall/membrane/envelope biogenesis,#c71585,
b0089,ftsW,98403,0.0055135292942563,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0090,murG,99644,0.0029832676836866,Cell wall/membrane/envelope biogenesis,#c71585,
b0091,murC,100765,0.0048401687728988,Cell wall/membrane/envelope biogenesis,#c71585,
b0092,ddlB,102233,-0.002927209421913,Nucleotide transport and metabolism,#00bfbf,
b0093,ftsQ,103155,0.0051114349013445,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0094,ftsA,103982,0.001908638544511,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0095,ftsZ,105305,0.0035928485588029,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0096,lpxC,106557,-0.0119589419920273,Cell wall/membrane/envelope biogenesis,#c71585,
b0097,secM,107705,-0.0087504282837939,Function unknown,#708090,
b0098,secA,108279,-0.0065609436862853,"Intracellular trafficking, secretion, and vesicular transport",#8b4513,
b0099,mutT,111044,-0.0066056147702553,"Replication, recombination and repair",#ff00ff,
b0101,yacG,111649,-0.0004511095919216,Function unknown,#708090,
b0102,zapD,111856,0.0072334545419131,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
b0103,coaE,112599,0.0070268313711925,Nucleotide transport and metabolism,#00bfbf,
b0104,guaC,113444,0.0083914964444421,Nucleotide transport and metabolism,#00bfbf,
b0106,hofC,114522,0.0137062112235097,"Intracellular trafficking, secretion, and vesicular transport",#8b4513,
b0107,hofB,115714,-0.0065736339131893,Cell motility,#da70d6,
b0108,ppdD,117109,-0.0140905761308027,Cell motility,#da70d6,
b0109,nadC,117752,0.0025354224566787,Nucleotide transport and metabolism,#00bfbf,
b0110,ampD,118733,-0.0026878950147254,Defense mechanisms,#d3d3d3,
b0111,ampE,119281,-0.0032323444620657,Defense mechanisms,#d3d3d3,
b0112,aroP,120178,0.0027506670431761,"Intracellular trafficking, secretion, and vesicular transport",#8b4513,
b0113,pdhR,122092,-0.0116504900367074,Transcription,#f4a460,
b0114,aceE,123017,0.0087861028616281,Nucleotide transport and metabolism,#00bfbf,
b0115,aceF,125695,0.0028724796320314,Nucleotide transport and metabolism,#00bfbf,
b0116,lpd,127912,-0.0027457879442465,Nucleotide transport and metabolism,#00bfbf,
b0117,yacH,129407,-0.0001679056395853,Cell wall/membrane/envelope biogenesis,#c71585,
b0118,acnB,131615,-0.0013461719865082,Energy production and conversion,#90ee90,
b0119,yacL,134388,-0.0114350005599729,Function unknown,#708090,
b0120,speD,134788,0.002228450631418,Nucleotide transport and metabolism,#00bfbf,
b0121,speE,135598,0.0025159569840191,Amino acid transport and metabolism,#ff0000,
b0122,yacC,136570,-0.001949468545747,Function unknown,#708090,
b0123,cueO,137083,0.0111847919075269,"Secondary metabolites biosynthesis, transport, and catabolism",#1e90ff,
b0124,gcd,138835,0.0528790164725203,Carbohydrate transport and metabolism,#ffc0cb,
b0125,hpt,141431,-0.0068992643795095,Nucleotide transport and metabolism,#00bfbf,
b0126,can,142008,0.009709093021136,Inorganic ion transport and metabolism,#0000ff,
