,name,x,y,cog,color,link
meta,start,0.029156680722706375,,,,
BSU_00010,dnaA,410,-0.0003713737856893181,"Replication, recombination and repair",#1e90ff,
BSU_00020,dnaN,1939,0.0007975081585897193,"Replication, recombination and repair",#1e90ff,
BSU_00030,rlbA,3206,0.0010826574510822173,Function unknown,#0000ff,
BSU_00040,recF,3437,-0.00016536872903936622,"Replication, recombination and repair",#1e90ff,
BSU_00050,remB,4567,-0.00543451322204689,Function unknown,#0000ff,
BSU_00060,gyrB,4867,0.0008174717817446235,"Replication, recombination and repair",#1e90ff,
BSU_00070,gyrA,6994,-0.0016339714290093785,"Replication, recombination and repair",#1e90ff,
BSU_00080,yaaC,14847,-0.007982590082442398,Function unknown,#0000ff,
BSU_00090,guaB,15915,-0.004531884754725254,Nucleotide transport and metabolism,#87ceeb,
BSU_00100,dacA,17534,0.000513041777520999,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_00110,pdxS,19062,-0.000941155405804092,Coenzyme transport and metabolism,#d3d3d3,
BSU_00120,pdxT,19968,-0.003689400298395542,Coenzyme transport and metabolism,#d3d3d3,
BSU_00130,serS,20880,-0.0024472028576550627,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00140,dck,22496,0.0007894328797633992,Nucleotide transport and metabolism,#87ceeb,
BSU_00150,dgk,23146,0.0021507476034067553,Nucleotide transport and metabolism,#87ceeb,
BSU_00160,sleL,23868,0.0041997217408894505,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_00170,yaaI,25221,-0.00043521284989962613,"Secondary metabolites biosynthesis, transport, and catabolism",#00ff00,
BSU_00180,tadA,25852,-0.006880096720418618,Nucleotide transport and metabolism,#87ceeb,
BSU_00190,dnaX,26814,-0.0041518614865365365,"Replication, recombination and repair",#1e90ff,
BSU_00200,ebfC,28529,-0.0008216834599625751,Function unknown,#0000ff,
BSU_00210,recR,28867,-0.004651145326430792,"Replication, recombination and repair",#1e90ff,
BSU_00220,yaaL,29481,-0.0004701763829716696,Function unknown,#0000ff,
BSU_00230,bofA,29772,-0.008455088829648566,Function unknown,#0000ff,
BSU_00240,csfB,35531,0.01996109626418276,Function unknown,#0000ff,
BSU_00250,xpaC,35845,-0.011057379282612322,Function unknown,#0000ff,
BSU_00260,yaaN,36478,-0.008966312124747225,Inorganic ion transport and metabolism,#8b4513,
BSU_00270,yaaO,37720,-0.011398416097816921,Amino acid transport and metabolism,#ff0000,
BSU_00280,tmk,39159,-0.0031671905493376173,Nucleotide transport and metabolism,#87ceeb,
BSU_00290,darA,39871,-0.0015913565975256608,Function unknown,#0000ff,
BSU_00300,yaaR,40213,-0.001641687931094977,Function unknown,#0000ff,
BSU_00310,holB,40665,-0.003329130992230411,"Replication, recombination and repair",#1e90ff,
BSU_00320,ricT,41657,-0.0035201753935821226,Function unknown,#0000ff,
BSU_00330,dnaH,42499,-0.006134418615340408,"Replication, recombination and repair",#1e90ff,
BSU_00340,trmNF,42917,-0.006471583161575261,Function unknown,#0000ff,
BSU_00350,yazA,43647,-0.006563696079979158,"Replication, recombination and repair",#1e90ff,
BSU_00360,rsmI,43921,-0.0051320905534330795,Coenzyme transport and metabolism,#d3d3d3,
BSU_00370,abrB,44848,0.012165198497070158,Transcription,#000000,
BSU_00380,metS,45633,-0.008355676450022073,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00390,dayD,47706,2.975474605130415e-05,"Replication, recombination and repair",#1e90ff,
BSU_00400,yabE,48629,0.0060872129075148895,Signal transduction mechanisms,#f4a460,
BSU_00410,rnmV,50087,0.006398355352694705,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00420,rsmA,50640,0.0005455048366413432,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00430,prtG,51680,0.04953140595878327,Function unknown,#0000ff,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_00430
BSU_00440,veg,52763,-0.00034088347218092034,Function unknown,#0000ff,
BSU_00450,sspF,53183,0.011082087040611812,Function unknown,#0000ff,
BSU_00460,ispE,53516,0.0002652862972399356,Lipid transport and metabolism,#87cefa,
BSU_00470,purR,54441,0.0019325810138056184,Nucleotide transport and metabolism,#87ceeb,
BSU_00480,ridA,55295,0.009470709281853569,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00490,spoVG,55866,-0.0003502668737931505,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_00500,glmU,56352,0.0018938396747317195,Cell wall/membrane/envelope biogenesis,#c71585,
BSU_00510,prs,57745,0.003609131912150696,Nucleotide transport and metabolism,#87ceeb,
BSU_00520,ctc,58783,-0.0003735646204691422,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00530,pth,59504,-0.0076278337584570356,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00540,fin,60130,-0.003245592839449581,Function unknown,#0000ff,
BSU_00550,mfd,60430,-0.0065081752936467655,"Replication, recombination and repair",#1e90ff,
BSU_00560,spoVT,64099,0.003826877825597975,Transcription,#000000,
BSU_00570,yabM,64817,-0.007102415040572315,Function unknown,#0000ff,
BSU_00580,yabN,66405,-0.0036756266567812674,Function unknown,#0000ff,
BSU_00590,hslR,67877,-0.005683678023565378,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00600,spcP,68216,-0.002120180915710314,Function unknown,#0000ff,
BSU_00610,spcQ,68515,-0.004794080092319353,Function unknown,#0000ff,
BSU_00620,divIC,69168,-0.006438459839281382,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_00630,yabR,69626,-0.0016581225291742606,"Translation, ribosomal structure and biogenesis",#daa520,
BSU_00640,spoIIE,70538,0.0020670017826258176,Transcription,#000000,
BSU_00650,yabS,73106,-0.0008038424982148747,Function unknown,#0000ff,
BSU_00660,prkT,73809,-0.0015769791564204964,Transcription,#000000,
BSU_00670,tilS,74929,-0.004902615211950873,"Cell cycle control, cell division, chromosome partitioning",#bfbf00,
BSU_00680,hprT,76344,-0.005334047126839053,Nucleotide transport and metabolism,#87ceeb,
BSU_00690,ftsH,76984,-0.0016449435544026222,"Post-translational modification, protein turnover, and chaperones",#add8e6,
BSU_00700,coaX,79092,-0.0019423430495606922,Nucleotide transport and metabolism,#87ceeb,
